system_name,compliance_certs,data_handling,source_url_compliance,source_url_data_handling
Mem0,"SOC 2 Type II, HIPAA-ready","Trains on de-identified/aggregated data (see privacy policy); enterprise controls not publicly detailed",https://mem0.ai/security,https://mem0.ai/privacy-policy
Letta,"no data","no data",https://letta.com/,https://letta.com/
Zep,"SOC 2 Type II, HIPAA (BAA available on Enterprise)","Never trains on customer data; BYOK supported (BYOM/BYOC/BYOC-VPC options available)",https://www.getzep.com/security/,https://www.getzep.com/security/
Pinecone,"SOC 2 Type II, HIPAA (BAA available), ISO 27001, GDPR-compliant","Never trains on customer data (data used only for API call servicing); BYOK supported (CMEK)",https://www.pinecone.io/security/,https://www.pinecone.io/security/
Qdrant,"SOC 2 Type II, HIPAA","Never trains on customer data (Hybrid Cloud: Qdrant has no access to data); self-hostable OSS",https://qdrant.tech/blog/soc-2-type-ii-hipaa/,https://qdrant.tech/documentation/cloud-security/
Weaviate,"SOC 2 Type II, HIPAA (AWS Enterprise Cloud), ISO 27001","Never trains on customer data (customer is sole data controller per GDPR; no training commitments in DPA)",https://weaviate.io/security,https://weaviate.io/dpa
Cognition (Devin),"SOC 2 Type II","Opt-out available (default: no training; Enterprise: never trains); explicit opt-in required",https://trust.cognition.ai/,https://docs.devin.ai/admin/security
Replit,"SOC 2 Type II","Never trains on customer data for Teams/Enterprise (only public Repls used, anonymized; commercial agreement prohibits training on Customer Content)",https://replit.com/products/security,https://replit.com/commercial-agreement
Lovable,"SOC 2 Type II, ISO 27001","Opt-out available (Business/Enterprise: full opt-out in Settings; Free/Pro: opt-out via support contact); DPA prohibits training on Customer Personal Data",https://lovable.dev/security,https://lovable.dev/faq/account/privacy/data-training-ai-models
Augment Code,"SOC 2 Type II, ISO 42001","Never trains on customer data; BAA available for HIPAA; BYOK supported (customer-managed encryption keys)",https://www.augmentcode.com/guides/7-soc-2-ready-ai-coding-tools-for-enterprise-security,https://www.augmentcode.com/guides/7-soc-2-ready-ai-coding-tools-for-enterprise-security
Glean,"SOC 2 Type II, ISO 27001, ISO 42001, HIPAA, GDPR-compliant","Never trains on customer data (zero-retention agreements with all model providers)",https://www.glean.com/security,https://www.glean.com/product/governance
Otter.ai,"SOC 2 Type II, HIPAA (Enterprise with BAA)","Trains on customer data (default — de-identified audio/transcripts used for training; explicit opt-in requested for manual review; class-action filed Aug 2025 re consent)",https://otter.ai/privacy-security,https://otter.ai/privacy-policy
Granola,"SOC 2 Type II, GDPR-compliant","Never trains on customer data (enterprise: training off by default organization-wide; no audio retained post-transcription)",https://www.granola.ai/security,https://docs.granola.ai/help-center/consent-security-privacy/security-privacy-data-faqs
Notion,"SOC 2 Type II, ISO 27001, ISO 27701, ISO 27017, ISO 27018, HIPAA (Enterprise with BAA)","Never trains on customer data (Enterprise: zero-retention APIs, contractual prohibition; non-Enterprise LLM providers retain ≤30 days; opt-in LEAP program available)",https://trustcenter.notion.com/,https://www.notion.com/help/notion-ai-security-practices
Perplexity AI,"SOC 2 Type II, GDPR-compliant, HIPAA (Enterprise Pro/Max with BAA), PCI-DSS, EU-US DPF","Opt-out available (Enterprise: never trains; free/non-enterprise: trains by default; opt-out available)",https://trust.perplexity.ai/,https://docs.perplexity.ai/docs/resources/privacy-security
Anthropic Claude Memory,"SOC 2 Type I, SOC 2 Type II, ISO 27001, ISO 42001, HIPAA (Claude for Work/API with BAA)","Opt-out available (consumer Free/Pro/Max: opt-out toggle; Enterprise/API/Bedrock/Vertex: never trains on customer data; FedRAMP in progress)",https://trust.anthropic.com/,https://privacy.claude.com/en/articles/10015870-what-certifications-has-anthropic-obtained
OpenAI ChatGPT Memory,"SOC 2 Type II, ISO 27001, ISO 27017, ISO 27018, ISO 27701, HIPAA (ChatGPT for Healthcare with BAA)","Opt-out available (consumer: trains by default; opt-out available; Enterprise/Team/Edu/API: never trains on customer data by default)",https://trust.openai.com/,https://openai.com/enterprise-privacy/
Microsoft Copilot,"SOC 2, ISO 27001, ISO 27018, ISO 27017, ISO 27701, ISO 42001, HIPAA (with BAA, E5 tier), FedRAMP High, GDPR-compliant","Never trains on customer data (Microsoft commits no training on user prompts; opt-out via Azure settings available for extra assurance)",https://learn.microsoft.com/en-us/microsoft-copilot-studio/admin-certification,https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy
Hippocratic AI,"SOC 2 Type II, HITRUST e1, HIPAA","Never trains on customer data (BAA governs all PHI; de-identified data only for model improvement per HIPAA standards)",https://www.businesswire.com/news/home/20250829140180/en/Hippocratic-AI-Achieves-SOC-for-Service-Organizations-Report,https://hippocraticai.com/organizational-goal/compliance/
Abridge,"SOC 2 Type II, ISO 27001, HIPAA (BAA required)","Trains on de-identified patient data only (raw PHI never used for training; BAA governs all customer PHI processing)",https://support.abridge.com/hc/en-us/articles/30235280178195-Abridge-HIPAA-Compliance,https://www.abridge.com/privacy
Harvey,"SOC 2 Type II, ISO 27001, GDPR-compliant, EU-US DPF","Never trains on customer data (contractual commitment to all AI providers: no retention, no human access, no training on customer data)",https://trust.harvey.ai/,https://www.harvey.ai/blog/security-by-design
Sierra,"SOC 2 Type II, ISO 27001, ISO 42001, HIPAA, GDPR-compliant, PCI-DSS Level 1, CSA STAR, CCPA","Never trains on customer data (Acceptable Use Policy prohibits using Sierra I/O to train AI models; data not shared with other customers)",https://trust.sierra.ai/,https://sierra.ai/acceptable-use-policy
Decagon,"SOC 2 Type II, HIPAA, GDPR-compliant","no data — privacy policy states aggregated/de-identified data may be used for service improvement; explicit training-on-customer-data policy not publicly stated",https://decagon.ai/security,https://decagon.ai/legal/privacy
