company,round_type,date,amount_usd,lead_investor,valuation,source_url
Pinecone,Seed,2022-01-01,10000000,Wing Venture Capital,no data,https://tracxn.com/d/companies/pinecone-systems/__0UwanTwdq5VEQ_i9ABozYwVOolyHuunHPhQ2BgGYPG4/funding-and-investors
Pinecone,Series A,2022-01-01,28000000,Wing Venture Capital,no data,https://tracxn.com/d/companies/pinecone-systems/__0UwanTwdq5VEQ_i9ABozYwVOolyHuunHPhQ2BgGYPG4/funding-and-investors
Pinecone,Series B,2023-04-27,100000000,Andreessen Horowitz,750000000,https://techcrunch.com/2023/04/27/pinecone-drops-100m-investment-on-750m-valuation-as-vector-database-demand-grows/
Weaviate,Seed,2020-01-01,no data,no data,no data,https://www.crunchbase.com/organization/weaviate
Weaviate,Series A,2022-01-01,17700000,no data,no data,https://www.clay.com/dossier/weaviate-funding
Weaviate,Series B,2023-04-20,50000000,Index Ventures,200000000,https://www.prnewswire.com/news-releases/weaviate-raises-50-million-series-b-funding-to-meet-soaring-demand-for-ai-native-vector-database-technology-301803296.html
Qdrant,Series A,2024-01-01,28000000,Unusual Ventures,no data,https://www.businesswire.com/news/home/20260312313902/en/Qdrant-Raises-$50-Million-Series-B-to-Define-Composable-Vector-Search-as-Core-Infrastructure-for-Production-AI
Qdrant,Series B,2026-03-12,50000000,AVP (Advance Venture Partners),no data,https://www.businesswire.com/news/home/20260312313902/en/Qdrant-Raises-$50-Million-Series-B-to-Define-Composable-Vector-Search-as-Core-Infrastructure-for-Production-AI
Chroma,Pre-Seed,2022-05-01,no data,AIX Ventures,no data,https://www.crunchbase.com/funding_round/chroma-4a75-pre-seed--8b0f28f5
Chroma,Seed,2023-04-06,18000000,Quiet Capital,75000000,https://siliconangle.com/2023/04/06/chroma-bags-18m-speed-ai-models-embedding-database/
Zilliz (Milvus),Series B,2021-08-24,43000000,Hillhouse Capital,no data,https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/
Zilliz (Milvus),Series B Extension,2022-08-24,60000000,Prosperity7 Ventures (Aramco),no data,https://zilliz.com/news/vector-database-company-zilliz-series-b-extension
LanceDB,Seed,2023-01-01,8000000,CRV,no data,https://www.lancedb.com/blog/series-a-funding
LanceDB,Series A,2025-06-01,30000000,Theory Ventures,no data,https://www.lancedb.com/blog/series-a-funding
Neo4j,Series A,2012-01-01,no data,no data,no data,https://neo4j.com/news/neo4j-raises-325m-in-series-f-valued-at-over-2-billion/
Neo4j,Series F,2021-06-17,325000000,Eurazeo,2000000000,https://neo4j.com/news/neo4j-raises-325m-in-series-f-valued-at-over-2-billion/
TigerGraph,Series C,2021-02-17,105000000,Tiger Global Management,no data,https://techcrunch.com/2021/02/17/tigergraph-raises-105m-series-c-for-its-enterprise-graph-database/
Cursor (Anysphere),Series A,2024-08-01,60000000,no data,400000000,https://techcrunch.com/2024/12/19/in-just-4-months-ai-coding-assistant-cursor-raised-another-100m-at-a-2-5b-valuation-led-by-thrive-sources-say/
Cursor (Anysphere),Series B,2024-12-19,100000000,Thrive Capital,2600000000,https://techcrunch.com/2024/12/19/in-just-4-months-ai-coding-assistant-cursor-raised-another-100m-at-a-2-5b-valuation-led-by-thrive-sources-say/
Cursor (Anysphere),Series C,2025-06-01,900000000,Thrive Capital,9900000000,https://techcrunch.com/2025/11/13/coding-assistant-cursor-raises-2-3b-5-months-after-its-previous-round/
Cursor (Anysphere),Series D,2025-11-13,2300000000,Accel; Coatue,29300000000,https://techcrunch.com/2025/11/13/coding-assistant-cursor-raises-2-3b-5-months-after-its-previous-round/
Tabnine,Series B,2023-11-08,25000000,Telstra Ventures,no data,https://techcrunch.com/2023/11/08/code-generating-ai-platform-tabnine-nabs-25m-investment/
Hippocratic AI,Series A,2024-03-01,53000000,no data,no data,https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/
Hippocratic AI,Series B,2025-01-09,141000000,Kleiner Perkins,1640000000,https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/
Hippocratic AI,Series C,2025-11-03,126000000,Avenir Growth,3500000000,https://www.businesswire.com/news/home/20251103432446/en/Hippocratic-AI-Raises-$126-Million-in-Series-C-at-$3.5-Billion-Valuation-Led-by-Avenir-Growth-to-Expand-Clinically-Safe-Generative-AI-Agents-Across-Healthcare
Abridge,Series D,2025-02-01,no data,no data,2650000000,https://techcrunch.com/2025/06/24/in-just-4-months-ai-medical-scribe-abridge-doubles-valuation-to-5-3b/
Abridge,Series E,2025-06-24,300000000,Andreessen Horowitz,5300000000,https://www.abridge.com/blog/series-e
Abridge,Series E Extension,2026-04-01,316000000,Andreessen Horowitz,no data,https://techjacksolutions.com/ai-brief/abridge-closes-reported-316m-series-e-extension-at-53b-valua/
DeepScribe,Series A,2022-01-12,30000000,Index Ventures,no data,https://techcrunch.com/2022/01/12/ai-powered-transcription-platform-deepscribe-raises-30m-to-unburden-doctors-from-tedious-data-entry/
Suki AI,Series D,2024-10-10,70000000,Hedosophia,no data,https://www.businesswire.com/news/home/20241010687252/en/Suki-Secures-$70M-Series-D-Funding-as-Demand-Surges-Expands-Strategic-Partnership-with-MedStar-Health
Nabla,Series B,2024-01-05,24000000,Cathay Innovation,180000000,https://techcrunch.com/2024/01/05/nabla-raises-another-24-million-for-its-ai-assistant-for-doctors/
Nabla,Series C,2025-06-17,70000000,no data,no data,https://www.statnews.com/2025/06/17/nabla-raises-70-million-ambient-market-heats-up/
Harvey,Series C,2024-07-01,100000000,GV (Google Ventures),1500000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series D,2025-02-01,300000000,Sequoia Capital,3000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series E,2025-06-01,300000000,Kleiner Perkins; Coatue,5000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Strategic,2025-10-01,59000000,EQT Growth,no data,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series F,2025-12-04,160000000,Andreessen Horowitz,8000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Growth,2026-03-25,200000000,GIC; Sequoia Capital,11000000000,https://www.cnbc.com/2026/03/25/legal-ai-startup-harvey-raises-200-million-at-11-billion-valuation.html
Luminance,Series B,2024-04-02,40000000,March Capital,no data,https://www.cnbc.com/2024/04/02/legal-tech-startup-luminance-rides-ai-hype-to-40-million-fundraise.html
Luminance,Series C,2025-02-01,75000000,Point72 Private Investments,no data,https://sifted.eu/articles/luminance-ai-agent-raise-news
Spellbook,Seed,2023-05-01,10900000,no data,no data,https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth
Spellbook,Series A,2024-01-24,20000000,Inovia Capital,no data,https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth
Filevine,Series D,2022-01-01,108000000,StepStone Group,no data,https://news.crunchbase.com/enterprise/filevine-legal-tech-vc-funding-ironclad/
Filevine,Undisclosed (2 rounds combined),2023-2024,400000000,Insight Partners; Accel,no data,https://www.filevine.com/news/filevine-raises-400m-with-insight-accel-and-halo-fund-to-scale-legal-intelligence/
Hebbia,Series B,2024-07-08,130000000,Andreessen Horowitz,700000000,https://techcrunch.com/2024/07/09/ai-startup-hebbia-rased-130m-at-a-700m-valuation-on-13-million-of-profitable-revenue/
Sierra,Series A,2024-02-01,no data,no data,no data,https://siliconangle.com/2024/10/28/generative-ai-agent-startup-sierra-technologies-raises-175m-4-5b-valuation/
Sierra,Series B,2024-10-28,175000000,Greenoaks Capital,4500000000,https://siliconangle.com/2024/10/28/generative-ai-agent-startup-sierra-technologies-raises-175m-4-5b-valuation/
Sierra,Series C,2025-09-01,350000000,Greenoaks Capital,10000000000,https://mlq.ai/news/sierra-ai-raises-350m-hits-10b-valuation-joins-ai-startup-elite/
Sierra,Series D,2026-05-04,950000000,no data,15800000000,https://techstartups.com/2026/05/04/bret-taylors-ai-startup-sierra-raises-950m-at-15-8b-valuation-as-demand-for-ai-agents-surges/
Decagon,Series A,2024-07-01,35000000,no data,no data,https://decagon.ai/resources/series-b
Decagon,Series B,2024-10-15,65000000,Bain Capital Ventures,no data,https://decagon.ai/resources/series-b
Decagon,Series C,2025-06-23,131000000,Accel; Andreessen Horowitz,1500000000,https://www.businesswire.com/news/home/20250623894798/en/Decagon-Raises-$131M-at-$1.5B-Valuation-to-Deliver-Concierge-Customer-Experience-with-AI-Agents
Decagon,Series D,2026-01-01,250000000,Coatue Management; Index Ventures,4500000000,https://www.mobihealthnews.com/news/decagon-raises-250m-ai-agents-triples-valuation-45b
Cognigy,Series B,2022-01-01,no data,no data,no data,https://www.cognigy.com/news/cognigy-raises-100m-in-series-c-funding
Cognigy,Series C,2024-06-01,100000000,Eurazeo Growth,no data,https://www.cognigy.com/news/cognigy-raises-100m-in-series-c-funding
ASAPP,Series C,2021-05-19,120000000,Fidelity; Dragoneer,1600000000,https://www.asapp.com/press/artificial-intelligence-platform-provider-asapp-raises-120-million-to-drive-greater-performance-of-customer-experience-cx-teams
Cresta,Series C,2022-03-01,80000000,Tiger Global,1600000000,https://www.prnewswire.com/news-releases/cresta-raises-series-c-quadruples-valuation-to-1-6b-on-its-mission-to-revolutionize-the-contact-center-with-real-time-intelligence-301505177.html
Cresta,Series D,2024-11-01,125000000,WiL; QIA,no data,https://cresta.com/press/cresta-closes-125m-series-d-to-accelerate-adoption-of-human-centric-ai-in-the-contact-center
PolyAI,Series B,2023-10-01,40000000,Georgian,no data,https://poly.ai/blog/polyai-raises-40m-series-b-to-help-put-superhuman-voice-assistants-behind-every-customer-service-line/
PolyAI,Series C,2024-05-01,no data,no data,475000000,https://www.cmswire.com/customer-experience/polyai-raises-86m-series-d-for-enterprise-voice-ai/
PolyAI,Series D,2025-01-01,86000000,no data,no data,https://www.cmswire.com/customer-experience/polyai-raises-86m-series-d-for-enterprise-voice-ai/
Replicant,Series B,2022-04-26,113000000,no data,550000000,https://wellfound.com/company/replicant-ai/funding
Inworld AI,Seed,2022-01-01,no data,no data,no data,https://techcrunch.com/2023/08/02/inworld-a-generative-ai-platform-for-creating-npcs-lands-fresh-investment/
Inworld AI,Series A,2023-08-02,50000000,Lightspeed Venture Partners,500000000,https://techcrunch.com/2023/08/02/inworld-a-generative-ai-platform-for-creating-npcs-lands-fresh-investment/
Convai,Seed,2023-01-11,4750000,Rainfall Ventures,no data,https://parsers.vc/startup/convai.com/
Character.ai,Series A,2023-03-01,150000000,Andreessen Horowitz,1000000000,https://sacra.com/c/character-ai/
Character.ai,License (Google),2024-08-01,2700000000,Google (license + reverse acquihire),2500000000,https://aimmediahouse.com/market-industry/old-employees-new-dollars-googles-2-7-billion-investment-in-character-ais-reverse-acquihire-for-ai-innovation
Replika,Series A-2,2017-11-30,6500000,Khosla Ventures,no data,https://www.vcnewsdaily.com/Replika/venture-capital-funding/qsvdjbfygk
Nomi AI,Bootstrapped,no data,no data,self-funded,no data,https://techcrunch.com/2024/09/26/nomi-ai-wants-to-make-the-most-emotionally-intelligent-chatbots-on-the-market/
Soul Machines,Series B,2020-01-01,40000000,Temasek,no data,https://www.pymnts.com/news/artificial-intelligence/2020/agi-soul-machine-funding-human-machine-connections/
Soul Machines,Series B1,2023-02-01,70000000,no data,no data,https://mixed-news.com/en/soul-machines-million-dollar-investment-in-digital-people/
Charisma.ai,Seed,2023-01-01,650000,Venrex; Digital Catapult,no data,https://www.oreateai.com/blog/charismaai-pioneering-the-future-of-conversational-ai-funding/6b18dea11e436547409a6a2aad95fe97
Latitude (Voyage),Seed III,2023-04-01,no data,Coho Deeptech,no data,https://www.cbinsights.com/company/ai-dungeon/financials
Figure,Seed,2022-01-01,no data,no data,no data,https://www.prnewswire.com/news-releases/figure-raises-675m-at-2-6b-valuation-and-signs-collaboration-agreement-with-openai-302074897.html
Figure,Series B,2024-02-29,675000000,"Microsoft; OpenAI Fund; NVIDIA; Bezos Expeditions",2600000000,https://www.prnewswire.com/news-releases/figure-raises-675m-at-2-6b-valuation-and-signs-collaboration-agreement-with-openai-302074897.html
Physical Intelligence,Series A,2024-11-01,400000000,"Bezos Expeditions; OpenAI; Thrive Capital",2000000000,https://news.crunchbase.com/ai/robot-brain-startup-unicorn-physical-intelligence-bezos/
Wayve,Series B,2022-01-01,200000000,Eclipse Ventures,no data,https://wayve.ai/press/series-c/
Wayve,Series C,2024-05-06,1050000000,SoftBank Group,no data,https://techcrunch.com/2024/05/06/wayve-raises-1-billion-led-by-softbank-to-take-self-driving-to-cars-and-robots/
Wayve,Series D,2026-02-24,1200000000,NVIDIA; Uber,no data,https://techcrunch.com/2026/02/24/self-driving-tech-startup-wayve-raises-1-2b-from-nvidia-uber-and-three-automakers/
Sanctuary AI,Series A,2022-03-01,58500000,BDC Capital,no data,https://www.sanctuary.ai/blog/sanctuary-ai-closes-75-million-series-a-funding
Sanctuary AI,Strategic,2024-07-01,no data,"BDC Capital Thrive; InBC",no data,https://www.iotworldtoday.com/robotics/canadian-general-purpose-robot-startup-secures-backing
Skild AI,Series A,2024-07-09,300000000,Lightspeed Venture Partners,1500000000,https://www.businesswire.com/news/home/20240709306400/en/Skild-AI-Raises-$300M-Series-A-To-Build-A-Scalable-AI-Foundation-Model-For-Robotics
Skild AI,Series C,2026-01-14,1400000000,SoftBank Group,14000000000,https://www.businesswire.com/news/home/20260114335623/en/Skild-AI-Raises-$1.4B-Now-Valued-Over-$14B
MagicSchool AI,Series A,2024-06-27,15000000,Bain Capital Ventures,no data,https://www.crunchbase.com/funding_round/magicschool-ai-series-a--c0150d39
Tana,Series A,2024-05-01,14500000,Tola Capital,no data,https://tana.inc/articles/tana-raises-usd14m-series-a
Tana,Series B,2025-02-03,25000000,Tola Capital,no data,https://techcrunch.com/2025/02/03/tana-snaps-up-25m-with-its-ai-powered-knowledge-graph-for-work-racking-up-a-160k-waitlist/
RemNote,Seed,2021-09-27,2800000,General Catalyst,no data,https://www.crunchbase.com/organization/remnote
Heyday,Seed,2022-06-28,6500000,Spark Capital,no data,https://techcrunch.com/2022/06/28/heyday-lands-6m-to-build-a-knowledge-base-from-the-services-you-already-use/
Personal.ai,Seed,2022-11-18,7800000,Differential Ventures,no data,https://www.businesswire.com/news/home/20230105005009/en/Personal.ai-Has-Raised-$7.8-Million-In-Seed-Capital-To-Build-Its-Personal-Language-Model-Sets-Out-To-Revolutionize-Human-to-Human-Conversations-With-Personal-AIs-Prepares-For-Series-A-In-2023
Plaud,Bootstrapped,no data,no data,self-funded,no data,https://eu.36kr.com/en/p/3315175009200386
Plaud,Series A,2025-01-01,5000000,no data,no data,https://parsers.vc/startup/plaud.ai/
Omi (BasedHardware),Seed,2025-01-30,2000000,Tim Draper; Draper Associates,no data,https://www.omi.me/blogs/news/omi-raises-2m-from-tim-draper
Friend (Avi Schiffmann),Pre-Seed,2024-07-30,2500000,"Caffeinated Capital; Z Fellows",50000000,https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/
Glean,Series A,2019-01-01,15300000,no data,no data,https://www.glean.com/press/glean-raises-150m-series-f-at-7-2b-valuation-to-accelerate-enterprise-ai-agent-innovation-globally
Glean,Series B,2021-03-01,40000000,no data,no data,https://en.wikipedia.org/wiki/Glean_Technologies
Glean,Series C,2022-05-01,100000000,no data,1000000000,https://en.wikipedia.org/wiki/Glean_Technologies
Glean,Series D,2024-02-01,200000000,no data,2200000000,https://en.wikipedia.org/wiki/Glean_Technologies
Glean,Series E,2024-09-10,260000000,no data,4600000000,https://www.businesswire.com/news/home/20240910611680/en/Glean-Announces-Over-$260-Million-Series-E-and-Next-Generation-Prompting-as-it-Brings-Work-AI-to-the-Enterprise
Glean,Series F,2025-06-10,150000000,no data,7200000000,https://www.glean.com/press/glean-raises-150m-series-f-at-7-2b-valuation-to-accelerate-enterprise-ai-agent-innovation-globally
Algolia,Series D,2021-07-28,150000000,Lone Pine Capital,2250000000,https://techcrunch.com/2021/07/28/search-api-startup-algolia-raises-150-million-at-2-25-billion-valuation/
Sinequa,Acquired by ChapsVision,2024-11-18,no data,ChapsVision (acquirer),no data,https://www.businesswire.com/news/home/20241118794850/en/ChapsVision-Strengthens-AI-Capabilities-With-Sinequa-Acquisition-and-Completes-New-US$90M-Funding-Round
CrewAI,Seed + Series A,2024-10-22,18000000,boldstart ventures; Insight Partners,no data,https://siliconangle.com/2024/10/22/agentic-ai-startup-crewai-closes-18m-funding-round/
LlamaIndex,Seed,2023-06-01,8500000,Greylock Partners,no data,https://www.llamaindex.ai/blog/announcing-our-series-a-and-llamacloud-general-availability
LlamaIndex,Series A,2025-03-01,19000000,Norwest Venture Partners,no data,https://www.llamaindex.ai/blog/announcing-our-series-a-and-llamacloud-general-availability
Mastra,Seed,2025-10-01,13000000,"Y Combinator; Gradient Ventures",no data,https://mastra.ai/blog/seed-round
Mastra,Series A,2026-01-01,22000000,Spark Capital,no data,https://mastra.ai/blog/series-a
Agno (Phidata),Seed,2023-01-01,5400000,"GreatPoint Ventures; Surface Ventures; Zero Prime",no data,https://www.crunchbase.com/organization/phidata
LivePerson,Public (NASDAQ:LPSN),no data,no data,public,no data,https://ir.liveperson.com/news-releases/news-release-details/liveperson-announces-fourth-quarter-2024-financial-results
