system_name,compliance,data_handling,pricing,deployment,hq,source_url_compliance,source_url_data_handling,source_url_pricing,source_url_deployment,source_url_hq
Opera AI,no data,no data,Free + paid,Managed-only,NO,https://www.opera.com/privacy,https://www.opera.com/privacy,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://blogs.opera.com/news/2025/02/aria-gets-memory-feature-new-ai-feature-drop/,https://www.opera.com/about
RemNote AI,no data,no data,Free + paid,Managed-only,DE,https://www.remnote.com/privacy,https://www.remnote.com/privacy,https://www.remnote.com/pricing,https://www.remnote.com/pricing,https://www.remnote.com/
Mem.ai,SOC 2 Type II,no data,Free + paid,Managed-only,US,https://get.mem.ai/security,https://get.mem.ai/privacy-policy,https://get.mem.ai/pricing,https://get.mem.ai/pricing,https://pitchbook.com/profiles/company/327411-82
Microsoft Recall,no data,Opt-out available (on-device only; never transmitted to Microsoft); data stored locally on-device,Closed,On-prem,US,https://learn.microsoft.com/en-us/windows/ai/apis/recall,https://support.microsoft.com/en-us/windows/privacy-and-control-over-your-recall-experience-d404f672-7647-41e5-886c-a3c59680af15,https://learn.microsoft.com/en-us/windows/ai/apis/recall,https://learn.microsoft.com/en-us/windows/ai/apis/recall,https://www.microsoft.com/
Apple Notes + Apple Intelligence,no data,Never trains on customer data (Private Cloud Compute — requests never stored; on-device processing),Closed,On-prem,US,https://www.apple.com/legal/privacy/en-ww/,https://www.apple.com/privacy/docs/apple_intelligence_and_privacy_overview.pdf,https://www.apple.com/apple-intelligence/,https://www.apple.com/apple-intelligence/,https://www.apple.com/
Tana,no data,no data,Free + paid,Managed-only,NO,https://tana.inc/privacy,https://tana.inc/privacy,https://tana.inc/,https://tana.inc/,https://www.crunchbase.com/organization/tana-inc
Limitless,no data,no data,Hardware-bundled,Managed-only,US,https://www.limitless.ai/terms,https://www.limitless.ai/terms,https://www.analyticsvidhya.com/blog/2024/04/limitless-pendant-the-wearable-ai-assistant/,https://www.limitless.ai/terms,https://www.crunchbase.com/organization/limitless-ai
Plaud NotePin,SOC 2 Type II; HIPAA; GDPR-compliant; ISO 27001,no data,Hardware-bundled + SaaS,Both,US,https://www.plaud.ai/security,https://www.plaud.ai/privacy,https://www.plaud.ai/products/notepin,https://www.plaud.ai/products/notepin,https://builtinsf.com/company/plaudai
Omi,no data,no data,Hardware-bundled,Both,US,https://github.com/BasedHardware/omi,https://github.com/BasedHardware/omi,https://www.umevo.ai/blogs/ume-all-posts/omi-ai-wearable-deep-dive-subscription-cost-and-developer-kit-review,https://github.com/BasedHardware/omi,https://techcrunch.com/2025/01/08/omi-a-competitor-to-friend-wants-to-boost-your-productivity-using-ai-and-a-brain-interface/
Bee,no data,no data,Hardware-bundled,Managed-only,US,https://bee.computer/privacy,https://bee.computer/privacy,https://bee.computer/,https://bee.computer/,https://www.crunchbase.com/organization/bee-41ee
Friend,no data,no data,Hardware-bundled,Managed-only,US,https://friend.com,https://friend.com,https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/,https://friend.com,https://en.wikipedia.org/wiki/Friend_(product)
Read.ai,SOC 2 Type II; GDPR-compliant; HIPAA (Business+ plans),no data,Free + paid,Managed-only,US,https://www.read.ai/security,https://www.read.ai/privacy,https://www.read.ai/plans-pricing,https://www.read.ai/plans-pricing,https://craft.co/read-ai/locations
SearchUnify,SOC 2 Type II,no data,Enterprise only,Managed-only,US,https://www.searchunify.com/security/,https://www.searchunify.com/privacy-policy/,https://www.capterra.com/p/168152/SearchUnify/,https://www.searchunify.com/,https://www.searchunify.com/company/contact-us/
Coveo,SOC 2 Type II; ISO 27001; GDPR-compliant; HIPAA; FedRAMP,no data,Enterprise only,Managed-only,CA,https://www.coveo.com/en/company/security,https://www.coveo.com/en/legal/privacy,https://www.coveo.com/en/pricing,https://www.coveo.com/en/pricing,https://ir.coveo.com/en/company-information
Sinequa,ISO 27001; GDPR-compliant,no data,Enterprise only,Both,FR,https://www.sinequa.com/company/security/,https://www.sinequa.com/legal/privacy-policy/,https://www.sinequa.com/product/,https://www.sinequa.com/product/,https://www.crunchbase.com/organization/sinequa
Mindbreeze InSpire,no data,no data,Enterprise only,Both,US,https://www.mindbreeze.com/security,https://www.mindbreeze.com/privacy,https://www.mindbreeze.com/pricing,https://www.mindbreeze.com/pricing,https://www.mindbreeze.com/company
Clarivate,ISO 27001; GDPR-compliant; SOC 2 Type II,no data,Enterprise only,Both,UK,https://clarivate.com/security/,https://clarivate.com/privacy/,https://www.g2.com/products/clarivate/pricing,https://clarivate.com/,https://www.globaldata.com/company-profile/clarivate-plc/locations/
Google Gemini Memory,SOC 2 Type II; ISO 27001; ISO 27017; ISO 27018; FedRAMP (Google Cloud); HIPAA; GDPR-compliant,Opt-out available (consumer: trains by default; Workspace/API: never trains on customer data by default),Free + paid,Managed-only,US,https://cloud.google.com/security/compliance,https://policies.google.com/privacy,https://ai.google.dev/pricing,https://gemini.google.com,https://about.google/
Grok Memory (xAI),no data,no data,Free + paid,Managed-only,US,https://grok.com,https://x.ai/privacy,https://grok.com/plans,https://grok.com/plans,https://en.wikipedia.org/wiki/XAI_(company)
Cloudflare Agent Memory,SOC 2 Type II; ISO 27001; GDPR-compliant; FedRAMP (moderate),Never trains on customer data (Cloudflare commits no training on customer data),Pay-per-use,Managed-only,US,https://www.cloudflare.com/trust-hub/,https://www.cloudflare.com/privacypolicy/,https://www.cloudflare.com/plans/,https://www.infoq.com/news/2026/04/cloudflare-agent-memory-beta/,https://www.cloudflare.com/
AWS Bedrock AgentCore Memory,SOC 2; HIPAA; ISO 27001; FedRAMP High; PCI-DSS; GDPR-compliant,Never trains on customer data,Pay-per-use,Managed-only,US,https://aws.amazon.com/compliance/,https://aws.amazon.com/privacy/,https://aws.amazon.com/bedrock/pricing/,https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/memory-integrate-lang.html,https://aws.amazon.com/
Vertex AI Memory Bank,SOC 2 Type II; ISO 27001; FedRAMP; HIPAA; GDPR-compliant,Never trains on customer data (Google Cloud commits no customer data training),Pay-per-use,Managed-only,US,https://cloud.google.com/security/compliance,https://cloud.google.com/terms/cloud-privacy-notice,https://cloud.google.com/vertex-ai/pricing,https://docs.cloud.google.com/agent-builder/agent-engine/memory-bank/quickstart-adk,https://about.google/
AI21 Labs (Jamba),no data,no data,Free + paid,Both,IL,https://www.ai21.com/security,https://www.ai21.com/privacy-policy,https://docs.ai21.com/docs/usage-cost,https://www.ai21.com/jamba/,https://en.wikipedia.org/wiki/AI21_Labs
Aleph Alpha PhariaAI,ISO 27001; GDPR-compliant; BSI C5 (German cloud security),Never trains on customer data (sovereign European cloud; BYOC options),Enterprise only,Both,DE,https://aleph-alpha.com/security/,https://aleph-alpha.com/privacy/,https://aleph-alpha.com/phariaai/,https://aleph-alpha.com/phariaai/,https://aleph-alpha.com/
NAVER HyperCLOVA X THINK,no data,no data,Enterprise only,Managed-only,KR,https://navercorp.com/en/tech/hyperclovax,https://navercorp.com/en/tech/hyperclovax,https://clova.ai/en/hyperclova,https://navercorp.com/en/tech/hyperclovax,https://navercorp.com/en/tech/hyperclovax
Tencent ima.copilot,no data,no data,Free,Managed-only,CN,https://ima.qq.com,https://ima.qq.com,https://ima.qq.com,https://ima.qq.com,https://www.tencent.com/
AutoGLM (Zhipu AI),no data,no data,Free + paid,Both,CN,https://www.zhipuai.cn/,https://www.zhipuai.cn/,https://open.bigmodel.cn/pricing,https://xiao9905.github.io/AutoGLM/,https://www.zhipuai.cn/
FutureHouse,no data,no data,Enterprise only,Managed-only,US,https://www.futurehouse.org/,https://www.futurehouse.org/privacy,https://www.futurehouse.org/,https://www.futurehouse.org/,https://www.crunchbase.com/organization/futurehouse
Causaly,SOC 2 Type II; GDPR-compliant,no data,Enterprise only,Managed-only,UK,https://www.causaly.com/security,https://www.causaly.com/privacy,https://www.causaly.com/,https://www.causaly.com/,https://www.crunchbase.com/organization/causaly
BenevolentAI,no data,no data,Enterprise only,Managed-only,UK,https://www.benevolent.com/privacy-policy,https://www.benevolent.com/privacy-policy,https://www.benevolent.com/,https://www.benevolent.com/,https://www.crunchbase.com/organization/benevolentai
LabGenius,no data,no data,Enterprise only,Managed-only,UK,https://www.labgenius.app/,https://www.labgenius.app/,https://www.labgenius.app/,https://www.labgenius.app/,https://www.crunchbase.com/organization/labgenius
DeepScribe,SOC 2 Type II; HIPAA; GDPR-compliant,Trains on de-identified clinical data only with BAA in place; PHI never used without customer consent,Enterprise only,Managed-only,US,https://www.deepscribe.ai/security,https://www.deepscribe.ai/privacy,https://aws.amazon.com/marketplace/pp/prodview-dbzumpxmtnqvu,https://www.deepscribe.ai/,https://pitchbook.com/profiles/company/264826-18
Suki AI,SOC 2 Type II; HIPAA; GDPR-compliant,no data,SaaS,Managed-only,US,https://www.suki.ai/security,https://www.suki.ai/privacy,https://www.healos.ai/blog/suki-pricing-features-cost-and-the-best-alternatives-in-2025,https://www.suki.ai/,https://www.cbinsights.com/company/robin2
Nabla,SOC 2 Type II; HIPAA; GDPR-compliant,no data,Free + paid,Managed-only,FR,https://www.nabla.com/security,https://www.nabla.com/privacy,https://www.eesel.ai/blog/nabla-ai-pricing,https://www.nabla.com/,https://www.crunchbase.com/organization/nabla
Luminance,ISO 27001; SOC 2 Type II; GDPR-compliant,Never trains on customer data (contractual commitment to no model training on customer data),Enterprise only,Managed-only,UK,https://www.luminance.com/security,https://www.luminance.com/privacy,https://www.luminance.com/,https://www.luminance.com/,https://find-and-update.company-information.service.gov.uk/company/09857705
Cognigy,SOC 2 Type II; ISO 27001; ISO 27701; GDPR-compliant; HIPAA; FedRAMP (In Process),no data,Enterprise only,Both,DE,https://www.cognigy.com/security,https://www.cognigy.com/privacy,https://softwarefinder.com/artificial-intelligence/cognigy-ai,https://www.cognigy.com/platform/cognigy-ai,https://www.cognigy.com/about
Inworld AI,SOC 2 Type II; GDPR-compliant,no data,Free + paid,Both,US,https://inworld.ai/security,https://inworld.ai/privacy,https://www.eesel.ai/blog/inworld-ai-pricing,https://inworld.ai/,https://www.cbinsights.com/company/inworld-ai
Character.ai,no data,Opt-out available (character data used to improve models by default; users can request deletion; no explicit opt-out toggle currently),Free + paid,Managed-only,US,https://character.ai/legal,https://character.ai/privacy,https://character.ai/subscription/plus/pricing,https://character.ai,https://pitchbook.com/profiles/company/512290-54
Khanmigo,no data,Never trains on third-party models on student data (Khan Academy controls data; COPPA/FERPA compliance),Free + paid,Managed-only,US,https://www.khanacademy.org/about/privacy-policy,https://www.khanacademy.org/about/privacy-policy,https://www.khanmigo.ai/pricing,https://www.khanmigo.ai/pricing,https://www.khanacademy.org/about
Duolingo Max,no data,no data,Free + paid,Managed-only,US,https://www.duolingo.com/privacy,https://www.duolingo.com/privacy,https://www.papora.com/learn-english/duolingo-max-what-is-price/,https://blog.duolingo.com/duolingo-max/,https://www.clay.com/dossier/duolingo-headquarters-office-locations
ELSA Speak,no data,no data,Free + paid,Managed-only,US,https://elsaspeak.com/en/privacy,https://elsaspeak.com/en/privacy,https://www.saasworthy.com/product/elsa-speak/pricing,https://elsaspeak.com/en/,https://tracxn.com/d/companies/elsa-speak/__oUqt06y8Fr5r2uVOAaIrTCxiqTQTMJGQoEAHCu57JWE
Quizlet AI Study Tools,no data,no data,Free + paid,Managed-only,US,https://quizlet.com/privacy,https://quizlet.com/privacy,https://quizlet.com/upgrade,https://quizlet.com/features/ai-study-tools,https://www.crunchbase.com/organization/quizlet
MagicSchool,FERPA; COPPA; GDPR-compliant; SOC 2 Type II,Never trains on student data; data not sold to third parties,Free + paid,Managed-only,US,https://www.magicschool.ai/security,https://www.magicschool.ai/privacy,https://www.magicschool.ai/pricing,https://www.magicschool.ai/,https://www.crunchbase.com/organization/magicschool-ai
PolyAI,SOC 2 Type II; GDPR-compliant; PCI-DSS,no data,Enterprise only,Managed-only,UK,https://poly.ai/security,https://poly.ai/privacy,https://poly.ai/pricing,https://poly.ai/en,https://www.crunchbase.com/organization/poly-ai
Replika,no data,no data,Free + paid,Managed-only,US,https://replika.ai/privacy,https://replika.ai/privacy,https://replikapro.com/replika-pro-ai-cost-pricing/,https://replika.ai,https://www.crunchbase.com/organization/replika
Nomi AI,no data,no data,Free + paid,Managed-only,US,https://nomi.ai/privacy,https://nomi.ai/privacy,https://autogpt.net/nomi-ai-pricing/,https://nomi.ai/,https://www.crunchbase.com/organization/nomi-ai
Soul Machines,no data,no data,Enterprise only,Managed-only,NZ,https://www.soulmachines.com/privacy,https://www.soulmachines.com/privacy,https://www.soulmachines.com/,https://www.soulmachines.com/,https://www.crunchbase.com/organization/soul-machines
Intercom Fin,SOC 2 Type II; HIPAA; GDPR-compliant; ISO 27001/27018/27701/42001,no data,Pay-per-use ($0.99/outcome),Managed-only,US,https://www.intercom.com/security,https://www.intercom.com/legal/privacy,https://fin.ai/pricing,https://fin.ai/pricing,https://en.wikipedia.org/wiki/Intercom%2C_Inc.
ASAPP,SOC 2 Type II; HIPAA; GDPR-compliant,no data,Enterprise only,Managed-only,US,https://www.asapp.com/security,https://www.asapp.com/privacy,https://www.g2.com/products/asapp/reviews,https://www.asapp.com/,https://www.cbinsights.com/company/getasapp
Hebbia,SOC 2 Type II; GDPR-compliant,Never trains on customer data (contractual commitment; zero-retention model agreements),Enterprise only,Managed-only,US,https://www.hebbia.com/security,https://www.hebbia.com/privacy,https://www.hebbia.com/pricing,https://www.hebbia.com/,https://www.crunchbase.com/organization/hebbia
Filevine LOIS,SOC 2 Type II; HIPAA; GDPR-compliant,no data,Enterprise only,Managed-only,US,https://www.filevine.com/security,https://www.filevine.com/privacy,https://www.filevine.com/pricing/,https://www.filevine.com/lois/,https://www.zoominfo.com/c/filevine-inc/367467293
Convai,SOC 2 Type II; GDPR-compliant,no data,Free + paid,Both,US,https://convai.com/security,https://convai.com/privacy,https://convai.com/pricing,https://convai.com/,https://www.crunchbase.com/organization/convai
Charisma.ai,no data,no data,Free + paid,Managed-only,UK,https://charisma.ai/privacy,https://charisma.ai/privacy,https://charisma.ai,https://charisma.ai,https://www.crunchbase.com/organization/charisma-ai
Latitude / Voyage,no data,no data,Free + paid,Managed-only,US,https://latitude.io/privacy,https://latitude.io/privacy,https://latitude.io,https://latitude.io,https://www.crunchbase.com/organization/latitude-games
Aider,no data,no data,OSS,Self-hostable,US,https://aider.chat,https://aider.chat,https://aider.chat,https://aider.chat,https://github.com/Aider-AI/aider
