system_name,modalities,volume_claim,conflict_resolution,pedigree,source_url_modalities,source_url_volume,source_url_conflict,source_url_pedigree
AI Singapore SEA-LION,text,245M training pairs; 128K-token context (no memory-volume claim),"not applicable (retrieval model, no write path)",AI Singapore (AISG) — national research foundation; no individual founders listed,https://sea-lion.ai/models/,https://sea-lion.ai/models/,https://sea-lion.ai/models/,https://sea-lion.ai/models/
Krutrim Kruti (Ola),text + voice + image,internal — undisclosed,LLM-arbitrate,"Ola Electric / Bhavish Aggarwal (founder, IIT Bombay; previously co-founded Ola Cabs)",https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/
Pydantic-AI MemoryTool,text,delegated to provider (no own volume claim),none specified (delegates to provider),"Pydantic (Samuel Colvin, founder; UK-based; YC-backed)",https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/
Inngest AgentKit — Network State,text,no scale claim — bounded by Inngest durable infra,"overwrite (KV store, last write wins)","Inngest Inc. (Tony Holdstock-Brown & Dan Farrelly, co-founders; ex-engineering leads; Sequoia-backed)",https://agentkit.inngest.com/concepts/memory,https://agentkit.inngest.com/concepts/memory,https://agentkit.inngest.com/concepts/memory,https://www.inngest.com/blog/series-a
Rivet Memory Node (Ironclad),text,no scale claim — research / open-source,overwrite (stable-ID overwrite on save),Ironclad Inc. (legal contract platform; Cai GoGwilt & Jason Boehmig co-founders; Tiger Global-backed),https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/
AGiXT Adaptive Memory,text,no scale claim — open-source plugin architecture,LLM-arbitrate,Josh Turner (open-source maintainer); no institutional backing,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT
Botpress LLMz,text,per-plan vector-DB quota (vendor-set; undisclosed upper bound),LLM-arbitrate,"Botpress Inc. (Sylvain Perron & Nicolas Hoizey, co-founders; Montreal-based; Inovia Capital-backed)",https://botpress.com/features/knowledge-bases,https://botpress.com/features/knowledge-bases,https://botpress.com/features/knowledge-bases,https://botpress.com/
Relevance AI Memory,text,no scale claim — SaaS; vendor undisclosed,"overwrite (KV store, last write wins for persistent; append for conversation metadata)","Relevance AI (Daniel Vassilev & Jacky Li, co-founders; Sydney-based; AirTree / GV-backed)",https://relevanceai.com/docs/agent/build-your-agent/memory,https://relevanceai.com/docs/agent/build-your-agent/memory,https://relevanceai.com/docs/agent/build-your-agent/memory,https://www.relevanceai.com/about
Lindy AI Memory,text,no scale claim — SaaS,LLM-arbitrate (selective; editable by user),"Lindy (Flo Crivello, founder; ex-Uber product; YC W23)",https://docs.lindy.ai/fundamentals/lindy-101/memory,https://docs.lindy.ai/fundamentals/lindy-101/memory,https://docs.lindy.ai/fundamentals/lindy-101/memory,https://www.ycombinator.com/companies/lindy
Vapi (voice agents),voice + text,no scale claim — state lives in call variables,overwrite (structured variables),"Vapi AI (Nikhil Gupta & Jordan Dearsley, co-founders; YC W23)",https://vapi.ai/,https://vapi.ai/,https://vapi.ai/,https://www.ycombinator.com/companies/vapi
Retell AI,voice + text,no scale claim — long-term via external CRM integration,none specified (webhooks to external CRM; no native resolution),"Retell AI (Weijia Yu, founder; ex-Meta engineer; YC W24)",https://www.retellai.com/,https://www.retellai.com/,https://www.retellai.com/,https://www.ycombinator.com/companies/retell-ai
Stack AI,text,no scale claim — enterprise SaaS KB; undisclosed,not applicable (read-only KB; no agent memory write),"Stack AI (Bernardo Aceituno & Antoni Rosinol, co-founders; MIT / CMU; YC W23)",https://www.stackai.com/,https://www.stackai.com/,https://www.stackai.com/,https://www.ycombinator.com/companies/stack-ai
MemoRAG,text,no scale claim — research,not applicable (read-only RAG retrieval),Qian-Hui Qin et al. — Renmin University of China; TheWebConf 2025,https://github.com/qhjqhj00/MemoRAG,https://github.com/qhjqhj00/MemoRAG,https://github.com/qhjqhj00/MemoRAG,https://arxiv.org/abs/2409.05591
EVOLVE-MEM,text,no scale claim — research (NeurIPS 2025 workshop),LLM-arbitrate,Anonymous NeurIPS 2025 submission (workshop track); no named authors at search time,https://openreview.net/forum?id=dfPQrg1WA5,https://openreview.net/forum?id=dfPQrg1WA5,https://openreview.net/forum?id=dfPQrg1WA5,https://openreview.net/forum?id=dfPQrg1WA5
MemPalace,text,no scale claim — research / open-source,append (no resolution),no data — searched mempalace.net; no author or affiliation listed,https://www.mempalace.net/,https://www.mempalace.net/,https://www.mempalace.net/,https://www.mempalace.net/
TiMem,text,no scale claim — research,LLM-arbitrate (consolidation),no data — searched arxiv.org/abs/2601.02845; author affiliations not found in preview,https://arxiv.org/abs/2601.02845,https://arxiv.org/abs/2601.02845,https://arxiv.org/abs/2601.02845,https://arxiv.org/abs/2601.02845
LiCoMemory,text,no scale claim — research,LLM-arbitrate (incremental graph updates),no data — searched arxiv.org/abs/2511.01448; author affiliations not found in preview,https://arxiv.org/abs/2511.01448,https://arxiv.org/abs/2511.01448,https://arxiv.org/abs/2511.01448,https://arxiv.org/abs/2511.01448
MAGMA,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2601.03236; author affiliations not found in preview,https://arxiv.org/abs/2601.03236,https://arxiv.org/abs/2601.03236,https://arxiv.org/abs/2601.03236,https://arxiv.org/abs/2601.03236
MemVerse,text + image,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2512.03627; author affiliations not found in preview,https://arxiv.org/abs/2512.03627,https://arxiv.org/abs/2512.03627,https://arxiv.org/abs/2512.03627,https://arxiv.org/abs/2512.03627
MMAG,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2512.01710; author affiliations not found in preview,https://arxiv.org/abs/2512.01710,https://arxiv.org/abs/2512.01710,https://arxiv.org/abs/2512.01710,https://arxiv.org/abs/2512.01710
D-SMART,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2510.13363; author affiliations not found in preview,https://arxiv.org/abs/2510.13363,https://arxiv.org/abs/2510.13363,https://arxiv.org/abs/2510.13363,https://arxiv.org/abs/2510.13363
WebWeaver,text,no scale claim — research,"append (no resolution, outline-based)",no data — searched arxiv.org/abs/2509.13312; author affiliations not found in preview,https://arxiv.org/abs/2509.13312,https://arxiv.org/abs/2509.13312,https://arxiv.org/abs/2509.13312,https://arxiv.org/abs/2509.13312
CAM,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2510.05520; author affiliations not found in preview,https://arxiv.org/abs/2510.05520,https://arxiv.org/abs/2510.05520,https://arxiv.org/abs/2510.05520,https://arxiv.org/abs/2510.05520
LightMem,text,no scale claim — research,none specified,no data — searched arxiv.org/abs/2510.18866; author affiliations not found in preview,https://arxiv.org/abs/2510.18866,https://arxiv.org/abs/2510.18866,https://arxiv.org/abs/2510.18866,https://arxiv.org/abs/2510.18866
RGMem,text,no scale claim — research,LLM-arbitrate (renormalization-group evolution),no data — searched arxiv.org/abs/2510.16392; author affiliations not found in preview,https://arxiv.org/abs/2510.16392,https://arxiv.org/abs/2510.16392,https://arxiv.org/abs/2510.16392,https://arxiv.org/abs/2510.16392
Mem-α,text,no scale claim — research,LLM-arbitrate (RL-learned construction),no data — searched arxiv.org/abs/2509.25911; author affiliations not found in preview,https://arxiv.org/abs/2509.25911,https://arxiv.org/abs/2509.25911,https://arxiv.org/abs/2509.25911,https://arxiv.org/abs/2509.25911
SGMem,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2509.21212; author affiliations not found in preview,https://arxiv.org/abs/2509.21212,https://arxiv.org/abs/2509.21212,https://arxiv.org/abs/2509.21212,https://arxiv.org/abs/2509.21212
Nemori,text,no scale claim — research,LLM-arbitrate (self-organising),no data — searched arxiv.org/abs/2508.03341; author affiliations not found in preview,https://arxiv.org/abs/2508.03341,https://arxiv.org/abs/2508.03341,https://arxiv.org/abs/2508.03341,https://arxiv.org/abs/2508.03341
ComoRAG,text,no scale claim — research,not applicable (read-only RAG),no data — searched arxiv.org/abs/2508.10419; author affiliations not found in preview,https://arxiv.org/abs/2508.10419,https://arxiv.org/abs/2508.10419,https://arxiv.org/abs/2508.10419,https://arxiv.org/abs/2508.10419
G-Memory,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2506.07398; author affiliations not found in preview,https://arxiv.org/abs/2506.07398,https://arxiv.org/abs/2506.07398,https://arxiv.org/abs/2506.07398,https://arxiv.org/abs/2506.07398
MemGuide,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2505.20231; author affiliations not found in preview,https://arxiv.org/abs/2505.20231,https://arxiv.org/abs/2505.20231,https://arxiv.org/abs/2505.20231,https://arxiv.org/abs/2505.20231
SeCom,text,no scale claim — research,LLM-arbitrate,no data — searched openreview.net/forum?id=xKDZAW0He3; author affiliations not found in preview,https://openreview.net/forum?id=xKDZAW0He3,https://openreview.net/forum?id=xKDZAW0He3,https://openreview.net/forum?id=xKDZAW0He3,https://openreview.net/forum?id=xKDZAW0He3
R³Mem,text,no scale claim — research,LLM-arbitrate (reversible compression),no data — searched arxiv.org/abs/2502.15957; author affiliations not found in preview,https://arxiv.org/abs/2502.15957,https://arxiv.org/abs/2502.15957,https://arxiv.org/abs/2502.15957,https://arxiv.org/abs/2502.15957
AI PERSONA,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2412.13103; author affiliations not found in preview,https://arxiv.org/abs/2412.13103,https://arxiv.org/abs/2412.13103,https://arxiv.org/abs/2412.13103,https://arxiv.org/abs/2412.13103
Memolet,text,no scale claim — HCI research,manual (user-controlled reuse),CHI/UIST academic paper; no affiliation found at doi.org/10.1145/3654777.3676388 in preview,https://doi.org/10.1145/3654777.3676388,https://doi.org/10.1145/3654777.3676388,https://doi.org/10.1145/3654777.3676388,https://doi.org/10.1145/3654777.3676388
Arigraph,text,no scale claim — research,LLM-arbitrate (KG updates),no data — searched arxiv.org/abs/2407.04363; author affiliations not found in preview,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363,https://arxiv.org/abs/2407.04363
Knowledge Graph Tuning,text,no scale claim — research,LLM-arbitrate (human feedback-driven KG update),no data — searched arxiv.org/abs/2405.19686; author affiliations not found in preview,https://arxiv.org/abs/2405.19686,https://arxiv.org/abs/2405.19686,https://arxiv.org/abs/2405.19686,https://arxiv.org/abs/2405.19686
Memoro,text,no scale claim — HCI research,not applicable (read-only UI),CHI 2024 paper; no affiliation found at doi.org/10.1145/3613904.3642450 in preview,https://doi.org/10.1145/3613904.3642450,https://doi.org/10.1145/3613904.3642450,https://doi.org/10.1145/3613904.3642450,https://doi.org/10.1145/3613904.3642450
MetaGPT,text,no scale claim — research / open-source,LLM-arbitrate,Sirui Hong et al. — DeepWisdom; primary affiliation Chinese Academy of Sciences / Tsinghua adjacent; arxiv 2308.00352,https://arxiv.org/abs/2308.00352,https://arxiv.org/abs/2308.00352,https://arxiv.org/abs/2308.00352,https://arxiv.org/abs/2308.00352
Lyfe Agents,text,no scale claim — research,LLM-arbitrate,Zhao et al. — Stanford / MIT CSAIL collaboration; arxiv 2310.02172,https://arxiv.org/abs/2310.02172,https://arxiv.org/abs/2310.02172,https://arxiv.org/abs/2310.02172,https://arxiv.org/abs/2310.02172
MemoChat,text,no scale claim — research,LLM-arbitrate (memo-based),no data — searched arxiv.org/abs/2308.08239; author affiliations not found in preview,https://arxiv.org/abs/2308.08239,https://arxiv.org/abs/2308.08239,https://arxiv.org/abs/2308.08239,https://arxiv.org/abs/2308.08239
S³,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2307.14984; author affiliations not found in preview,https://arxiv.org/abs/2307.14984,https://arxiv.org/abs/2307.14984,https://arxiv.org/abs/2307.14984,https://arxiv.org/abs/2307.14984
RecurrentGPT,text,infinite via streaming (unbounded long-text generation),append (no resolution),Wangchunshu Zhou et al. — ETH Zurich / AIWaves; arxiv 2305.13304,https://arxiv.org/abs/2305.13304,https://arxiv.org/abs/2305.13304,https://arxiv.org/abs/2305.13304,https://arxiv.org/abs/2305.13304
RET-LLM,text,no scale claim — research,overwrite (read-write; general update),no data — searched arxiv.org/abs/2305.14322; author affiliations not found in preview,https://arxiv.org/abs/2305.14322,https://arxiv.org/abs/2305.14322,https://arxiv.org/abs/2305.14322,https://arxiv.org/abs/2305.14322
SCM,text,no scale claim — research,LLM-arbitrate (self-controlled),no data — searched arxiv.org/abs/2304.13343; author affiliations not found in preview,https://arxiv.org/abs/2304.13343,https://arxiv.org/abs/2304.13343,https://arxiv.org/abs/2304.13343,https://arxiv.org/abs/2304.13343
Memoria (cognitive),text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2310.03052; author affiliations not found in preview,https://arxiv.org/abs/2310.03052,https://arxiv.org/abs/2310.03052,https://arxiv.org/abs/2310.03052,https://arxiv.org/abs/2310.03052
ReadAgent,text,"no scale claim — research (prompt-only, no persistent store)",not applicable (read-only gist compression),Google Research / Google DeepMind; arxiv 2402.09727,https://arxiv.org/abs/2402.09727,https://arxiv.org/abs/2402.09727,https://arxiv.org/abs/2402.09727,https://arxiv.org/abs/2402.09727
GAM (General Agentic Memory),text,no scale claim — research,not applicable (immutable page-store),no data — searched arxiv.org/abs/2511.18423; author affiliations not found in preview,https://arxiv.org/abs/2511.18423,https://arxiv.org/abs/2511.18423,https://arxiv.org/abs/2511.18423,https://arxiv.org/abs/2511.18423
TierMem,text,no scale claim — research,not applicable (immutable raw-log; summaries derived),no data — searched arxiv.org/abs/2602.17913; author affiliations not found in preview,https://arxiv.org/abs/2602.17913,https://arxiv.org/abs/2602.17913,https://arxiv.org/abs/2602.17913,https://arxiv.org/abs/2602.17913
MemInsight,text,no scale claim — research,LLM-arbitrate (autonomous augmentation),no data — searched arxiv.org/abs/2503.21760; author affiliations not found in preview,https://arxiv.org/abs/2503.21760,https://arxiv.org/abs/2503.21760,https://arxiv.org/abs/2503.21760,https://arxiv.org/abs/2503.21760
MemoryBench (Tsinghua THUIR),text,no scale claim — benchmark,not applicable (evaluation benchmark),Tsinghua University THUIR group; arxiv 2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281,https://arxiv.org/abs/2510.17281
MemR³,text,no scale claim — research,"not applicable (retrieval controller, no write)",no data — searched arxiv.org/abs/2512.20237; author affiliations not found in preview,https://arxiv.org/abs/2512.20237,https://arxiv.org/abs/2512.20237,https://arxiv.org/abs/2512.20237,https://arxiv.org/abs/2512.20237
MemMachine (paper),text,no scale claim — research,append (no resolution — raw episodic store),no data — searched arxiv.org/abs/2604.04853; author affiliations not found in preview,https://arxiv.org/abs/2604.04853,https://arxiv.org/abs/2604.04853,https://arxiv.org/abs/2604.04853,https://arxiv.org/abs/2604.04853
MIA — Memory Intelligence Agent,text,no scale claim — research,LLM-arbitrate (Planner parametric + Manager non-parametric),no data — searched arxiv.org/abs/2604.04503; author affiliations not found in preview,https://arxiv.org/abs/2604.04503,https://arxiv.org/abs/2604.04503,https://arxiv.org/abs/2604.04503,https://arxiv.org/abs/2604.04503
MemRL,text,no scale claim — research,LLM-arbitrate (RL-driven),no data — searched arxiv.org/abs/2601.03192; author affiliations not found in preview,https://arxiv.org/abs/2601.03192,https://arxiv.org/abs/2601.03192,https://arxiv.org/abs/2601.03192,https://arxiv.org/abs/2601.03192
MemEvolve,text,no scale claim — research (12 systems distilled),LLM-arbitrate (meta-evolution),no data — searched arxiv.org/abs/2512.18746; author affiliations not found in preview,https://arxiv.org/abs/2512.18746,https://arxiv.org/abs/2512.18746,https://arxiv.org/abs/2512.18746,https://arxiv.org/abs/2512.18746
FLEX,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2511.06449; author affiliations not found in preview,https://arxiv.org/abs/2511.06449,https://arxiv.org/abs/2511.06449,https://arxiv.org/abs/2511.06449,https://arxiv.org/abs/2511.06449
PRINCIPLES,text,no scale claim — research,LLM-arbitrate (synthetic strategy),no data — searched arxiv.org/abs/2509.17459; author affiliations not found in preview,https://arxiv.org/abs/2509.17459,https://arxiv.org/abs/2509.17459,https://arxiv.org/abs/2509.17459,https://arxiv.org/abs/2509.17459
ToolMem,text + image,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2510.06664; author affiliations not found in preview,https://arxiv.org/abs/2510.06664,https://arxiv.org/abs/2510.06664,https://arxiv.org/abs/2510.06664,https://arxiv.org/abs/2510.06664
H²R,text,no scale claim — research,LLM-arbitrate (hierarchical reflection),no data — searched arxiv.org/abs/2509.12810; author affiliations not found in preview,https://arxiv.org/abs/2509.12810,https://arxiv.org/abs/2509.12810,https://arxiv.org/abs/2509.12810,https://arxiv.org/abs/2509.12810
BrowserAgent,text + image,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2510.10666; author affiliations not found in preview,https://arxiv.org/abs/2510.10666,https://arxiv.org/abs/2510.10666,https://arxiv.org/abs/2510.10666,https://arxiv.org/abs/2510.10666
LEGOMem,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2510.04851; author affiliations not found in preview,https://arxiv.org/abs/2510.04851,https://arxiv.org/abs/2510.04851,https://arxiv.org/abs/2510.04851,https://arxiv.org/abs/2510.04851
Alita-G,text,no scale claim — research,LLM-arbitrate (self-evolving),no data — searched arxiv.org/abs/2510.23601; author affiliations not found in preview,https://arxiv.org/abs/2510.23601,https://arxiv.org/abs/2510.23601,https://arxiv.org/abs/2510.23601,https://arxiv.org/abs/2510.23601
Memento,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2508.16153; author affiliations not found in preview,https://arxiv.org/abs/2508.16153,https://arxiv.org/abs/2508.16153,https://arxiv.org/abs/2508.16153,https://arxiv.org/abs/2508.16153
Memp,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2508.06433; author affiliations not found in preview,https://arxiv.org/abs/2508.06433,https://arxiv.org/abs/2508.06433,https://arxiv.org/abs/2508.06433,https://arxiv.org/abs/2508.06433
SEAgent,text + image,no scale claim — research,LLM-arbitrate (self-evolving),no data — searched arxiv.org/abs/2508.04700; author affiliations not found in preview,https://arxiv.org/abs/2508.04700,https://arxiv.org/abs/2508.04700,https://arxiv.org/abs/2508.04700,https://arxiv.org/abs/2508.04700
Agent KB,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2507.06229; author affiliations not found in preview,https://arxiv.org/abs/2507.06229,https://arxiv.org/abs/2507.06229,https://arxiv.org/abs/2507.06229,https://arxiv.org/abs/2507.06229
MemTool,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2507.21428; author affiliations not found in preview,https://arxiv.org/abs/2507.21428,https://arxiv.org/abs/2507.21428,https://arxiv.org/abs/2507.21428,https://arxiv.org/abs/2507.21428
Inducing Programmatic Skills,text,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2504.06821; author affiliations not found in preview,https://arxiv.org/abs/2504.06821,https://arxiv.org/abs/2504.06821,https://arxiv.org/abs/2504.06821,https://arxiv.org/abs/2504.06821
COLA,text + image,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2503.09263; author affiliations not found in preview,https://arxiv.org/abs/2503.09263,https://arxiv.org/abs/2503.09263,https://arxiv.org/abs/2503.09263,https://arxiv.org/abs/2503.09263
Planning from Imagination,text + image,no scale claim — research,LLM-arbitrate,no data — searched arxiv.org/abs/2412.01857; author affiliations not found in preview,https://arxiv.org/abs/2412.01857,https://arxiv.org/abs/2412.01857,https://arxiv.org/abs/2412.01857,https://arxiv.org/abs/2412.01857
SAGE,text,no scale claim — research (Neurocomputing 2025),LLM-arbitrate (reflective),no data — no URL in landscape HTML; searched Neurocomputing 2025 SAGE paper; no results,no data,no data,no data,no data
Fincon,text,no scale claim — research,LLM-arbitrate (verbal reinforcement),no data — searched arxiv.org/abs/2407.06567; author affiliations not found in preview,https://arxiv.org/abs/2407.06567,https://arxiv.org/abs/2407.06567,https://arxiv.org/abs/2407.06567,https://arxiv.org/abs/2407.06567
Buffer of Thoughts,text,no scale claim — research (NeurIPS 2024),LLM-arbitrate,no data — no URL in landscape HTML; searched NeurIPS 2024 Buffer of Thoughts; no affiliation found,no data,no data,no data,no data
JARVIS-1,text + image,no scale claim — research (TPAMI 2024),LLM-arbitrate,no data — no URL in landscape HTML; searched TPAMI 2024 JARVIS-1 open-world agents,no data,no data,no data,no data
ExpeL,text,no scale claim — research (AAAI 2024),LLM-arbitrate,Andrew Zhao et al. — CMU; AAAI 2024,no data,no data,no data,no data
CREATOR,text,no scale claim — research (EMNLP Findings),LLM-arbitrate (tool creation),no data — no URL in landscape HTML; searched EMNLP CREATOR tool creation reasoning,no data,no data,no data,no data
AgentEvolver,text,no scale claim — research,LLM-arbitrate (self-evolving),no data — searched arxiv.org/abs/2511.10395; author affiliations not found in preview,https://arxiv.org/abs/2511.10395,https://arxiv.org/abs/2511.10395,https://arxiv.org/abs/2511.10395,https://arxiv.org/abs/2511.10395
ToolGen,text,no scale claim — research,not applicable (retrieval generation; no persistent write),no data — searched arxiv.org/abs/2410.03439; author affiliations not found in preview,https://arxiv.org/abs/2410.03439,https://arxiv.org/abs/2410.03439,https://arxiv.org/abs/2410.03439,https://arxiv.org/abs/2410.03439
Retroformer,text,no scale claim — research,LLM-arbitrate (policy-gradient retrospective),no data — searched arxiv.org/abs/2308.02151; author affiliations not found in preview,https://arxiv.org/abs/2308.02151,https://arxiv.org/abs/2308.02151,https://arxiv.org/abs/2308.02151,https://arxiv.org/abs/2308.02151
Agentic Plan Caching (APC),text,no scale claim — research (NeurIPS 2025),LLM-arbitrate (plan-template reuse),NeurIPS 2025 poster; no author affiliation found at neurips.cc/virtual/2025/poster/116166 in preview,https://neurips.cc/virtual/2025/poster/116166,https://neurips.cc/virtual/2025/poster/116166,https://neurips.cc/virtual/2025/poster/116166,https://neurips.cc/virtual/2025/poster/116166
