company,section,pricing,deployment,hq,compliance,data_handling,funding,customers,mindshare,founders,modalities,volume_claim,conflict_resolution
Spirit AI Character Engine,Gaming/NPC,no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.spirit.ai/],"UK [https://www.crunchbase.com/organization/spirit-ai]",no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.spirit.ai/],no data — searched not found [https://www.crunchbase.com/organization/spirit-ai],"Game studios, interactive fiction authors [https://intfiction.org/t/character-engine-spirit-ai/40846]",no data — searched not found [https://www.spirit.ai/],Steve Andre (CEO) [https://www.crunchbase.com/organization/spirit-ai],text + voice [https://www.spirit.ai/],no scale claim [https://www.spirit.ai/],LLM-arbitrate [https://www.spirit.ai/]
Figure Helix,Robotics/embodied,no data — searched not found [https://www.figure.ai/helix],Managed hardware deployment (robots at partner sites) [https://www.figure.ai/helix],"US (Sunnyvale CA) [https://www.figure.ai/]",no data — searched not found [https://www.figure.ai/],Onboard GPU inference; robot performance logs feed training data flywheel [https://www.figure.ai/news/helix],"$675M raised (OpenAI/Microsoft/Nvidia/Intel/Amazon) [https://www.figure.ai/]",BMW Spartanburg plant (11-month deployment; 90k+ parts loaded) [https://www.figure.ai/news/helix-logistics],"HN high: multiple top-100 posts [https://www.figure.ai/]",Brett Adcock (founder/CEO) [https://www.figure.ai/],vision + proprioception + language [https://www.figure.ai/helix],no scale claim [https://www.figure.ai/helix],LLM-arbitrate [https://www.figure.ai/helix]
π0.5 (Physical Intelligence),Robotics/embodied,no data — searched not found [https://www.physicalintelligence.company/],Cloud inference + on-robot deployment (websocket streaming) [https://github.com/Physical-Intelligence/openpi],"US (San Francisco) [https://www.physicalintelligence.company/]",no data — searched not found [https://www.physicalintelligence.company/],"Trained on Open X-Embodiment + proprietary in-house datasets; open-source weights available [https://github.com/Physical-Intelligence/openpi]","$400M raised (Sequoia/Khosla/Amazon) [https://www.physicalintelligence.company/]",Robot hardware partners (Boston Dynamics etc.) [https://www.physicalintelligence.company/],no data — searched not found [https://www.physicalintelligence.company/],"Chelsea Finn (Stanford Prof), Sergey Levine, Karol Hausman, Brian Ichter, Lachy Groom [https://www.physicalintelligence.company/]",vision + proprioception + language [https://www.physicalintelligence.company/],no scale claim [https://www.physicalintelligence.company/],LLM-arbitrate [https://www.physicalintelligence.company/]
Wayve GAIA-2/3,Robotics/embodied,no data — searched not found [https://wayve.ai/science/gaia/],Research/internal tool — not sold separately [https://wayve.ai/science/gaia/],"UK (London) [https://wayve.ai/]",no data — searched not found [https://wayve.ai/],Synthetic data from GAIA feeds Wayve AI Driver training; no third-party data sales [https://wayve.ai/science/gaia/],"$1.5B Series D (SoftBank lead) [https://wayve.ai/press/series-d/]","Uber (Tokyo robotaxi pilot 2026); Nissan LEAF partnership [https://wayve.ai/press/series-d/]",no data — searched not found [https://wayve.ai/],"Amar Shah (CEO/founder; Cambridge PhD) [https://wayve.ai/about/]",video + sensor + language [https://wayve.ai/science/gaia/],no scale claim [https://wayve.ai/science/gaia/],LLM-arbitrate [https://wayve.ai/science/gaia/]
Tesla FSD V13,Robotics/embodied,"$99/month subscription (as of Apr 2024); purchase price $8000 (discontinued Feb 2026 — subscription only) [https://www.tesla.com/support/full-self-driving-subscriptions]",HW4/AI4 Tesla vehicles only (on-device) [https://www.teslaoracle.com/2024/12/01/tesla-starts-fsd-v13-rollout-to-early-access-non-employees-release-notes/],"US (Austin TX) [https://www.tesla.com/]","UNECE-neutered in EU; NHTSA-regulated in US; no SOC2/ISO listed [https://en.wikipedia.org/wiki/Tesla_Autopilot]","Shadow fleet telemetry used for training; PHI not applicable; European UNECE restrictions limit maneuver scope [https://en.wikipedia.org/wiki/Tesla_Autopilot]",Public company (TSLA) [https://www.tesla.com/],"~12% FSD conversion rate among Tesla installed base; HW4 customers only for v13 [https://www.aicerts.ai/news/tesla-fsd-v13-autonomous-driving-ai-milestone/]",no data — searched not found [https://www.tesla.com/],Elon Musk (CEO/founder) [https://www.tesla.com/],vision + proprioception [https://www.tesla.com/],no scale claim [https://www.tesla.com/],LLM-arbitrate [https://en.wikipedia.org/wiki/Tesla_Autopilot]
Sanctuary AI Carbon,Robotics/embodied,"Est. starting ~$65000 USD (configuration-dependent) [https://www.trustradius.com/products/sanctuary-ai-carbon/pricing]",Hardware deployment at customer sites [https://www.sanctuary.ai/],"Canada (Vancouver) [https://www.sanctuary.ai/about]",no data — searched not found [https://www.sanctuary.ai/],"High-fidelity teleoperation captures behavioral training data; haptic feedback from tactile sensors [https://www.sanctuary.ai/]",no data — searched not found [https://www.crunchbase.com/organization/sanctuary-ai],"Selected manufacturing deployments [https://www.sanctuary.ai/]",no data — searched not found [https://www.sanctuary.ai/],"Geordie Rose, Suzanne Gildert, Ajay Agrawal, Olivia Norton (co-founders; Rose removed as CEO Nov 2024; Gildert departed Apr 2024) [https://www.sanctuary.ai/about]",vision + proprioception + tactile + language [https://www.sanctuary.ai/],no scale claim [https://www.sanctuary.ai/],LLM-arbitrate [https://www.sanctuary.ai/]
Skild Brain,Robotics/embodied,"No public pricing; $4k–$15k target hardware cost enabled by Skild Brain [https://research.contrary.com/company/skild-ai]",Cloud inference + on-robot edge deployment [https://www.skild.ai/],"US (Pittsburgh PA) [https://www.skild.ai/]",Complex multi-jurisdiction compliance landscape (38 state AI laws + EU AI Act) [https://www.skild.ai/],"4-source data flywheel: simulation + internet video + teleoperation + real deployments [https://www.skild.ai/]","Series C $1.4B, $14B+ valuation (Jan 2026) [https://news.crunchbase.com/venture/robotics-startup-skild-ai-triples-valuation/]","Security, construction, delivery, data centers, warehouses, factories [https://www.skild.ai/]",no data — searched not found [https://www.skild.ai/],"Deepak Pathak (CEO) and Abhinav Gupta (President); Carnegie Mellon professors [https://research.contrary.com/company/skild-ai]",vision + proprioception + language [https://www.skild.ai/],no scale claim [https://www.skild.ai/],LLM-arbitrate [https://www.skild.ai/]
GWM (Gaussian World Models),Robotics/embodied,no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],no data — searched not found [https://wayve.ai/thinking/gaia-2/],vision + sensor [https://wayve.ai/thinking/gaia-2/],no scale claim [https://wayve.ai/thinking/gaia-2/],not applicable (research architecture) [https://wayve.ai/thinking/gaia-2/]
ELSA Speak,Education,"Free / Basic $9.99/mo / Premium $13.99/mo / Annual plans available [https://elsaspeak.com/en/pricing/]","iOS + Android + Web [https://elsaspeak.com/]","US (San Francisco) [https://www.crunchbase.com/organization/elsa-speak]","GDPR-compliant; DPO appointed (Matan Cohen); data processing agreements per Art.28 GDPR; data deleted when purpose achieved [https://elsa-ai.eu/data-privacy/]","Retains voice recordings for ASR improvement; DPO-governed; user deletion rights under GDPR/CCPA [https://elsaspeak.com/en/privacy/]","$27M total raised [https://tracxn.com/d/companies/elsa-speak]","50M+ downloads; users in 195 countries [https://elsaspeak.com/]",no data — searched not found [https://elsaspeak.com/],"Vu Van (CEO/co-founder) and Xavier Anguera (CTO/co-founder) [https://elsaspeak.com/en/about/]",voice + text [https://elsaspeak.com/],no scale claim [https://elsaspeak.com/],LLM-arbitrate [https://elsaspeak.com/]
Duolingo Max,Education,"Max tier ~$29.99/mo (above Super Duolingo) [https://www.gradually.ai/en/chatgpt-pricing/]","iOS + Android + Web [https://www.duolingo.com/]","US (Pittsburgh PA) [https://en.wikipedia.org/wiki/Duolingo]",no data — searched not found [https://www.duolingo.com/],"Uses engagement data for personalization; no specific Max-tier training policy published [https://www.duolingo.com/privacy]","$183M total raised (CapitalG/NEA/General Atlantic); public company (DUOL) [https://www.crunchbase.com/organization/duolingo]","116.7M MAU / 40.5M DAU / 9.5M paid subscribers (Q3 2024); Max accounted for 5% of paid subs by end 2024 [https://investors.duolingo.com/static-files/0d4a8a6c-ed74-436c-89ad-c77463457c6e]",no data — searched not found [https://www.duolingo.com/],"Luis von Ahn (CEO/co-founder) and Severin Hacker (CTO/co-founder) [https://en.wikipedia.org/wiki/Duolingo]",text + voice + image [https://www.duolingo.com/],no scale claim [https://www.duolingo.com/],LLM-arbitrate [https://www.duolingo.com/]
Quizlet,Education,"Free / Plus $4/mo (annual) [https://quizlet.com/upgrade]","iOS + Android + Web [https://quizlet.com/]","US (San Francisco) [https://en.wikipedia.org/wiki/Quizlet]",no data — searched not found [https://quizlet.com/],"Usage data (all activity/data points) used to improve predictive models and content recommendations [https://quizlet.com/privacy]","$62M total raised (General Atlantic / Icon Ventures) [https://www.crunchbase.com/organization/quizlet]","50M+ MAU; 1M customers; available in 130+ countries [https://usesignhouse.com/blog/duolingo-stats/]",no data — searched not found [https://quizlet.com/],"Andrew Sutherland (founder 2005; departed 2020) [https://en.wikipedia.org/wiki/Quizlet]",text + image [https://quizlet.com/],no scale claim [https://quizlet.com/],LLM-arbitrate [https://quizlet.com/]
SchoolAI,Education,"Free tier available; paid depends on student count/features [https://schoolai.com/pricing]","Web (K-12 classroom deployment) [https://schoolai.com/]","US (Utah) [https://www.globenewswire.com/news-release/2025/04/02/3054126/0/en/SchoolAI-Secures-25-Million-to-Help-Teachers-and-Schools-Reach-Every-Student.html]","FERPA; COPPA; SOC 2 [https://schoolai.com/privacy]","Student data FERPA-protected; not used for third-party training [https://schoolai.com/privacy]","$25M (Apr 2025) [https://www.globenewswire.com/news-release/2025/04/02/3054126/0/en/SchoolAI-Secures-25-Million-to-Help-Teachers-and-Schools-Reach-Every-Student.html]","400+ school districts; 57800+ students (Jordan School District UT) [https://schoolai.com/blog/schoolai-vs-chatgpt-educators]",no data — searched not found [https://schoolai.com/],Caleb Hicks (founder/CEO; former teacher) with Kevin and Cahlan (co-founders) [https://schoolai.com/blog/understanding-schoolai],text [https://schoolai.com/],no scale claim [https://schoolai.com/],LLM-arbitrate [https://schoolai.com/]
Speak (language app),Education,"Free trial; Premium plans (multiple tiers); Enterprise (SSO/white-label) [https://tekpon.com/software/speak/pricing/]","iOS + Android + Web + Enterprise embedded [https://www.speak.com/]","US (San Francisco) [https://www.crunchbase.com/organization/speak-3]","GDPR-compliant (enterprise compliance/procurement discussions available) [https://www.speak.com/business]","Voice data used for ASR improvement under privacy policy; enterprise data handling via BAA-equivalent agreements [https://www.speak.com/privacy]","$162M total raised; Series C $78M at $1B val (Accel/OpenAI/Khosla/YC) Dec 2024 [https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/]","10M+ users; 40+ countries; 1B+ sentences spoken in 2024 [https://www.speak.com/blog/series-c]",no data — searched not found [https://www.speak.com/],"Connor Zwick and Andrew Hsu (co-founders; Thiel Fellowship) [https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/]",voice + text [https://www.speak.com/],no scale claim [https://www.speak.com/],LLM-arbitrate [https://www.speak.com/]
Synthesis Tutor,Education,"$20–$45/month; annual from $99/year (up to 7 kids) [https://brighterly.com/blog/synthesis-tutor-cost/]","iOS (iPad) + Web [https://www.synthesis.com/tutor]","US [https://www.synthesis.com/]","COPPA-compliant [https://brighterly.com/blog/synthesis-tutor-cost/]","Child privacy-first; COPPA-governed data handling [https://www.synthesis.com/privacy]",no data — searched not found [https://www.synthesis.com/],no data — searched not found [https://www.synthesis.com/],no data — searched not found [https://www.synthesis.com/],no data — searched not found [https://www.synthesis.com/],text + interactive [https://www.synthesis.com/tutor],no scale claim [https://www.synthesis.com/],LLM-arbitrate [https://www.synthesis.com/]
ChatGPT Study Mode,Education,"Included in ChatGPT Plus ($20/mo) and Pro ($200/mo); available on Free tier with limits [https://chatgpt.com/pricing/]","Web + iOS + Android [https://chatgpt.com/]","US (San Francisco) [https://openai.com/]","SOC 2 Type II, ISO/IEC 27001:2022, ISO 27017, ISO 27018, ISO 27701, CSA STAR L1 [https://openai.com/security]","Free/Plus: conversations may be used for training (opt-out available); Team/Enterprise: no training on customer data by default [https://openai.com/policies/privacy-policy]",Public company (OpenAI) [https://openai.com/],300M+ weekly ChatGPT active users [https://openai.com/],no data — searched not found [https://openai.com/],Sam Altman (CEO); originally co-founded with Elon Musk / Greg Brockman / Ilya Sutskever [https://openai.com/],text + voice + image [https://openai.com/],no scale claim [https://openai.com/],LLM-arbitrate [https://openai.com/]
Decagon,Customer support/voice,Enterprise only [https://decagon.ai],Managed-only [https://decagon.ai],US [https://www.crunchbase.com/organization/decagon-485e],"SOC 2 Type II, HIPAA, GDPR-compliant [https://decagon.ai/security]","Aggregated/de-identified data may be used for service improvement; explicit no-training-on-customer-data policy not publicly stated [https://decagon.ai/legal/privacy]","$481M total, $4.5B val, Series D 2026-01 [https://decagon.ai/resources/series-b]",51-200 ppl [https://decagon.ai/resources/series-c-announcement],"13 HN · 2 press [https://news.ycombinator.com/]","Jesse Zhang (CEO/co-founder; Harvard CS; ex-CEO Lowkey/Niantic) and Ashwin Sreenivas (CTO/co-founder) [https://decagon.ai/blog/series-a]",voice + text [https://decagon.ai],internal — undisclosed [https://decagon.ai],none specified [https://decagon.ai]
Cognigy,Customer support/voice,Enterprise only [https://softwarefinder.com/artificial-intelligence/cognigy-ai],Both (managed + on-prem) [https://www.cognigy.com/platform/cognigy-ai],DE [https://www.cognigy.com/about],"SOC 2 Type II; ISO 27001; ISO 27701; GDPR-compliant; HIPAA; FedRAMP (In Process) [https://www.cognigy.com/security]",no data — searched not found [https://www.cognigy.com/],"$100M total, Series C 2024-06; acquired by NICE Jul 2025 [https://www.cognigy.com/news/cognigy-raises-100m-in-series-c-funding]","$37M ARR; acquired by NICE Jul 2025 [https://www.cognigy.com/news/cognigy-raises-100m-in-series-c-funding]",no data — searched not found [https://www.cognigy.com/],no data — searched not found [https://www.cognigy.com/],voice + text [https://www.cognigy.com/],1B+ annual interactions (vendor claim) [https://www.cognigy.com/],none specified [https://www.cognigy.com/]
ASAPP GenerativeAgent,Customer support/voice,Enterprise only [https://www.g2.com/products/asapp/reviews],Managed-only [https://www.asapp.com/],"US (New York) [https://www.asapp.com/]","SOC 2 Type II; HIPAA; GDPR-compliant [https://www.asapp.com/security]",no data — searched not found [https://www.asapp.com/],"$120M total, $1.6B val, Series C 2021-05 [https://www.asapp.com/press/artificial-intelligence-platform-provider-asapp-raises-120-million-to-drive-greater-performance-of-customer-experience-cx-teams]",201-500 ppl [https://www.asapp.com/press/artificial-intelligence-platform-provider-asapp-raises-120-million-to-drive-greater-performance-of-customer-experience-cx-teams],no data — searched not found [https://www.asapp.com/],no data — searched not found [https://www.asapp.com/],text [https://www.asapp.com/],internal — undisclosed [https://www.asapp.com/],none specified [https://www.asapp.com/]
Cresta,Customer support/voice,Enterprise only [https://www.g2.com/products/cresta/pricing],Managed-only [https://cresta.com/],US [https://www.cbinsights.com/company/cresta],no data — searched not found [https://cresta.com/],no data — searched not found [https://cresta.com/],"$205M total, $1.6B val, Series D 2024-11 [https://www.prnewswire.com/news-releases/cresta-raises-series-c-quadruples-valuation-to-1-6b-on-its-mission-to-revolutionize-the-contact-center-with-real-time-intelligence-301505177.html]",201-500 ppl [https://cresta.com/press/cresta-closes-125m-series-d-to-accelerate-adoption-of-human-centric-ai-in-the-contact-center],no data — searched not found [https://cresta.com/],no data — searched not found [https://cresta.com/],voice + text [https://cresta.com/],internal — undisclosed [https://cresta.com/],none specified [https://cresta.com/]
PolyAI,Customer support/voice,Enterprise only [https://poly.ai/pricing],Managed-only [https://poly.ai/en],UK [https://www.crunchbase.com/organization/poly-ai],"SOC 2 Type II; GDPR-compliant; PCI-DSS [https://poly.ai/security]",no data — searched not found [https://poly.ai/],"$126M total, $475M val, Series D 2025-01 [https://poly.ai/blog/polyai-raises-40m-series-b-to-help-put-superhuman-voice-assistants-behind-every-customer-service-line/]","FedEx, Marriott, Whitbread [https://poly.ai/blog/polyai-raises-40m-series-b-to-help-put-superhuman-voice-assistants-behind-every-customer-service-line/]",no data — searched not found [https://poly.ai/],no data — searched not found [https://poly.ai/],voice [https://poly.ai/],no scale claim [https://poly.ai/],overwrite [https://poly.ai/]
Intercom Fin,Customer support/voice,Pay-per-use [https://fin.ai/pricing],Managed-only [https://fin.ai/pricing],US [https://en.wikipedia.org/wiki/Intercom%2C_Inc.],"SOC 2 Type II; HIPAA; GDPR-compliant; ISO 27001/27018/27701/42001 [https://www.intercom.com/security]",no data — searched not found [https://fin.ai/],Public company subsidiary (Intercom) [https://fin.ai/],no data — searched not found [https://fin.ai/],no data — searched not found [https://fin.ai/],"Eoghan McCabe, Des Traynor, Ciaran Lee, David Barrett (Intercom co-founders) [https://en.wikipedia.org/wiki/Intercom%2C_Inc.]",text [https://fin.ai/],internal — undisclosed [https://fin.ai/],overwrite [https://fin.ai/]
Replicant,Customer support/voice,no data — searched not found [https://www.replicant.com/],no data — searched not found [https://www.replicant.com/],"US (San Francisco) [https://www.replicant.com/]",no data — searched not found [https://www.replicant.com/],no data — searched not found [https://www.replicant.com/],"$113M total, $550M val, Series B 2022-04 [https://wellfound.com/company/replicant-ai/funding]","$24M ARR; 20 customers (2024) [https://getlatka.com/companies/replicant]",no data — searched not found [https://www.replicant.com/],no data — searched not found [https://www.replicant.com/],voice [https://www.replicant.com/],500M+ minutes handled (vendor claim) [https://www.replicant.com/],overwrite [https://www.replicant.com/]
LivePerson Conversation Context Service,Customer support/voice,no data — searched not found [https://www.liveperson.com/],no data — searched not found [https://www.liveperson.com/],"US (New York) — NASDAQ:LPSN [https://www.liveperson.com/]",no data — searched not found [https://www.liveperson.com/],no data — searched not found [https://www.liveperson.com/],Public company (NASDAQ:LPSN) [https://ir.liveperson.com/],"HSBC, Chipotle, Virgin Media [https://ir.liveperson.com/news-releases/news-release-details/liveperson-announces-fourth-quarter-2024-financial-results]",no data — searched not found [https://www.liveperson.com/],no data — searched not found [https://www.liveperson.com/],text [https://www.liveperson.com/],internal — undisclosed (enterprise telco/finance/retail) [https://www.liveperson.com/],overwrite [https://www.liveperson.com/]
Salesforce Agentforce / Einstein,Customer support/voice,no data — searched not found [https://www.salesforce.com/artificial-intelligence/],no data — searched not found [https://www.salesforce.com/],no data — searched not found [https://www.salesforce.com/],no data — searched not found [https://www.salesforce.com/],no data — searched not found [https://www.salesforce.com/],Public company (NYSE:CRM) [https://www.salesforce.com/],Dominant CRM market position (150k+ customers) [https://www.salesforce.com/],no data — searched not found [https://www.salesforce.com/],"Marc Benioff (CEO/co-founder) and Parker Harris (co-founder) [https://en.wikipedia.org/wiki/Salesforce]",text [https://www.salesforce.com/],internal — undisclosed (dominant CRM market) [https://www.salesforce.com/],overwrite [https://www.salesforce.com/]
NVIDIA Isaac GR00T N1.7,Robotics/embodied,no data — searched not found (open foundation model) [https://github.com/NVIDIA/Isaac-GR00T],Open-source (Apache-2.0); self-hosted [https://github.com/NVIDIA/Isaac-GR00T],US (NVIDIA Research) [https://www.nvidia.com/],not applicable — not commercial [https://github.com/NVIDIA/Isaac-GR00T],not applicable — not commercial [https://github.com/NVIDIA/Isaac-GR00T],no data — searched not found (NVIDIA corporate funded) [https://www.nvidia.com/],no data — searched not found [https://github.com/NVIDIA/Isaac-GR00T],no data — searched not found [https://github.com/NVIDIA/Isaac-GR00T],NVIDIA Research; corporate robotics foundation model team [https://arxiv.org/abs/2503.14734],vision + sensor + text [https://github.com/NVIDIA/Isaac-GR00T],no scale claim (open foundation model) [https://github.com/NVIDIA/Isaac-GR00T],not applicable [https://arxiv.org/abs/2503.14734]
NVIDIA ReMEmbR,Robotics/embodied,no data — searched not found (research code) [https://github.com/NVIDIA-AI-IOT/remembr],Open-source (Custom NVIDIA license) [https://github.com/NVIDIA-AI-IOT/remembr],US (NVIDIA Research) [https://www.nvidia.com/],not applicable — not commercial [https://github.com/NVIDIA-AI-IOT/remembr],not applicable — not commercial [https://github.com/NVIDIA-AI-IOT/remembr],no data — searched not found (NVIDIA corporate funded) [https://www.nvidia.com/],no data — searched not found [https://github.com/NVIDIA-AI-IOT/remembr],no data — searched not found [https://github.com/NVIDIA-AI-IOT/remembr],NVIDIA Research; no individual authors confirmed [https://arxiv.org/abs/2409.13682],vision + sensor + text [https://github.com/NVIDIA-AI-IOT/remembr],no scale claim (research; Nova Carter robot) [https://arxiv.org/abs/2409.13682],append (no resolution) [https://arxiv.org/abs/2409.13682]
MemoryVLA,Robotics/embodied,no data — searched not found (academic research) [https://arxiv.org/abs/2508.19236],no data — searched not found [https://github.com/shihao1895/MemoryVLA],US/UK (academic) [https://arxiv.org/abs/2508.19236],not applicable — not commercial [https://arxiv.org/abs/2508.19236],not applicable — not commercial [https://arxiv.org/abs/2508.19236],no public funding — academic research [https://arxiv.org/abs/2508.19236],Academic/research use only [https://arxiv.org/abs/2508.19236],no data — searched not found [https://arxiv.org/abs/2508.19236],no data — searched not found [https://arxiv.org/abs/2508.19236],vision + sensor + text [https://arxiv.org/abs/2508.19236],no scale claim (research) [https://arxiv.org/abs/2508.19236],append (no resolution) [https://arxiv.org/abs/2508.19236]
SG-Nav,Robotics/embodied,no data — searched not found (academic research) [https://arxiv.org/abs/2410.08189],Open-source (MIT) [https://github.com/bagh2178/SG-Nav],China (academic) [https://arxiv.org/abs/2410.08189],not applicable — not commercial [https://arxiv.org/abs/2410.08189],not applicable — not commercial [https://arxiv.org/abs/2410.08189],no public funding — academic research [https://arxiv.org/abs/2410.08189],Academic/research use only [https://arxiv.org/abs/2410.08189],no data — searched not found [https://arxiv.org/abs/2410.08189],no data — searched not found [https://arxiv.org/abs/2410.08189],vision + sensor + text [https://arxiv.org/abs/2410.08189],no scale claim (research navigation benchmark) [https://arxiv.org/abs/2410.08189],append (no resolution) [https://arxiv.org/abs/2410.08189]
Meta-Memory,Robotics/embodied,not applicable — not commercial [https://arxiv.org/abs/2509.20754],not applicable — not a deployable product [https://arxiv.org/abs/2509.20754],US/UK (academic) [https://arxiv.org/abs/2509.20754],not applicable — not commercial [https://arxiv.org/abs/2509.20754],not applicable — not commercial [https://arxiv.org/abs/2509.20754],not applicable — not commercial [https://arxiv.org/abs/2509.20754],not applicable — not commercial [https://arxiv.org/abs/2509.20754],no data — searched not found [https://arxiv.org/abs/2509.20754],no data — searched not found [https://arxiv.org/abs/2509.20754],vision + sensor + text [https://arxiv.org/abs/2509.20754],no scale claim (research) [https://arxiv.org/abs/2509.20754],append (no resolution) [https://arxiv.org/abs/2509.20754]
GWM (Gaussian World Models),Robotics/embodied,no data — searched not found (research) [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],no data — searched not found [https://gaussian-world-model.github.io/],vision + sensor [https://gaussian-world-model.github.io/],no scale claim (research; ICCV 2025) [https://gaussian-world-model.github.io/],overwrite [https://gaussian-world-model.github.io/]
MagicSchool,Education,"Free + paid [https://www.magicschool.ai/pricing]",Managed-only [https://www.magicschool.ai/],US [https://www.crunchbase.com/organization/magicschool-ai],"FERPA; COPPA; GDPR-compliant; SOC 2 Type II [https://www.magicschool.ai/security]",Never trains on student data; data not sold to third parties [https://www.magicschool.ai/privacy],"$15M total, Series A 2024-06 [https://www.crunchbase.com/funding_round/magicschool-ai-series-a--c0150d39]",11-50 ppl [https://www.crunchbase.com/funding_round/magicschool-ai-series-a--c0150d39],no data — searched not found [https://www.magicschool.ai/],no data — searched not found [https://www.magicschool.ai/],text [https://www.magicschool.ai/],no scale claim [https://www.magicschool.ai/],none specified [https://www.magicschool.ai/]
Khanmigo,Education,Free + paid [https://www.khanmigo.ai/pricing],Managed-only [https://www.khanmigo.ai/pricing],US [https://www.khanacademy.org/about],no data — searched not found [https://www.khanacademy.org/about/privacy-policy],Never trains third-party models on student data (Khan Academy controls data; COPPA/FERPA compliance) [https://www.khanacademy.org/about/privacy-policy],Non-profit (Khan Academy); no funding rounds [https://www.khanacademy.org/about],no data — searched not found [https://www.khanmigo.ai/],no data — searched not found [https://www.khanmigo.ai/],Sal Khan (founder; Khan Academy) [https://www.khanacademy.org/about],text [https://www.khanmigo.ai/],no scale claim [https://www.khanmigo.ai/],LLM-arbitrate [https://www.khanmigo.ai/]
