row_name,section,integration_count,integration_count_cite,orchestration_patterns,orchestration_patterns_cite,programmatic_control,programmatic_control_cite,vendor_benchmarks,vendor_benchmarks_cite,pricing_specifics,pricing_specifics_cite,agent_abstraction,agent_abstraction_cite,memory_primitives,memory_primitives_cite,llm_lock,llm_lock_cite,runtimes,runtimes_cite,session_handling,session_handling_cite
Mem0,Dedicated memory layers,14,https://github.com/mem0ai/mem0 (analysis-4-network.md inbound: CrewAI/AutoGen/Haystack/DSPy/Langflow/AgentOps/Ratine/Strands/FalkorDB/Mem0 MCP/OpenMemory MCP/Mem0 Security/Inngest AgentKit/Pydantic-AI),both,https://docs.mem0.ai/open-source/features/multi-agent-memory,full CRUD + SDK (Python/Node REST),https://docs.mem0.ai/api-reference,"LoCoMo 91.6 (vendor); LMES ~26% improvement over OpenAI; ConvoMem 30 (vendor) — disputed by Zep counter-analysis",https://mem0.ai/research,"per-API-call: free tier 1k mem ops/mo; Starter $19/mo (50k ops); Pro $249/mo; Enterprise custom",https://mem0.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Letta / MemGPT,Dedicated memory layers,1,https://github.com/letta-ai/letta (network analysis: 0 inbound from catalog rows; comparator only),single-agent,https://docs.letta.com/concepts/agent,full CRUD + SDK (Python/TS REST),https://docs.letta.com/api-reference,"LMES 83.2 (vendor); LoCoMo 74.0 with gpt-4o-mini (vendor)",https://www.letta.com/blog/benchmarking-ai-agent-memory,"per-message + per-agent tier flat-rate: Letta Cloud Free; Pro $20/mo; Enterprise custom; OSS self-hosted free",https://www.letta.com/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Zep & Graphiti,Dedicated memory layers,3,https://github.com/getzep/graphiti (analysis-4-network.md: AutoGen/FalkorDB/Graphiti MCP wrapper),both,https://help.getzep.com/graphiti/quickstart,full CRUD + SDK (Python/TS REST),https://help.getzep.com/sdk-reference,"LMES ~94.8% (vendor blog); disputed Mem0 LoCoMo via published counter-analysis",https://blog.getzep.com/state-of-the-art-agent-memory/,"tier flat-rate: Free; Standard $15/mo + $50 facts overage; Enterprise custom; Graphiti OSS free",https://www.getzep.com/pricing/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Cognee,Dedicated memory layers,1,https://github.com/topoteretes/cognee (network analysis: Strands/Mem0 reverse partnership noted; 1 catalog inbound from Cognee MCP),both,https://docs.cognee.ai/quickstart,full CRUD + SDK (Python),https://docs.cognee.ai/api-reference,"vendor publishes pipeline-quality metrics; no LMES/LoCoMo/ConvoMem score on standard leaderboards — searched not found",https://www.cognee.ai/pricing,"per-API-call + tier flat-rate: Free; Pro €40/mo; Enterprise custom",https://www.cognee.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Hindsight (Vectorize),Dedicated memory layers,2,https://hindsight.vectorize.io/ (Pydantic-AI integration; Hindsight MCP),both,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,full CRUD + SDK + MCP server,https://hindsight.vectorize.io/docs,"LMES 91% (vendor; highest among standalone memory services per VentureBeat post)",https://venturebeat.com/ai/vectorize-hindsight-memory/,"tier flat-rate inside Vectorize platform pricing; Hindsight standalone — no data — searched not found",https://vectorize.io/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Supermemory,Dedicated memory layers,1,https://github.com/supermemoryai/supermemory (claude-supermemory plugin; 1 inbound),both,https://supermemory.ai/docs,full CRUD + SDK + MCP server,https://supermemory.ai/docs/api,"LMES self-reported #1 (Multi-Session 71.43% / Temporal 76.69%); LoCoMo #1 self-reported; ConvoMem #1 self-reported (late 2025) ⚠ self-reported",https://supermemory.ai/research/,"per-memory + tier flat-rate: Free 100 memories; Pro $15/mo; Enterprise custom",https://supermemory.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memvid,Dedicated memory layers,1,https://github.com/memvid/memvid (Memvid MCP plugin in Claude Code mechanisms section),agnostic,https://github.com/memvid/memvid#readme,full CRUD via Rust/Python lib (no remote API),https://github.com/memvid/memvid/blob/main/docs/api.md,"LoCoMo +35% (vendor); sub-millisecond ops 0.025ms P50",https://github.com/memvid/memvid,"OSS only (Apache-2.0); no commercial pricing",https://github.com/memvid/memvid,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memobase,Dedicated memory layers,1,https://github.com/memodb-io/memobase (Memobase MCP),both,https://docs.memobase.io/quickstart,full CRUD + SDK (Python/Node/Go) + MCP,https://docs.memobase.io/api-reference,"vendor reports sub-100ms retrieval; no LMES/LoCoMo public score — searched not found",https://www.memobase.io/,"tier flat-rate + pay-as-you-go: Free for testing; production paid (price not detailed)",https://www.memobase.io/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
OMEGA,Dedicated memory layers,0,https://omegamax.co/ (no inbound catalog edges),both,https://omegamax.co/docs,full CRUD + SDK,https://omegamax.co/docs,"LMES 95.4% (466/500) at 50ms (vendor) — claimed highest published",https://omegamax.co/,"open-core: Core free (Apache-2.0); Graph $249/mo; Pro multi-agent additional",https://omegamax.co/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
ByteRover,Dedicated memory layers,0,https://www.byterover.dev/ (no inbound catalog edges),single-agent,https://www.byterover.dev/docs,full CRUD via API,https://www.byterover.dev/docs,"LoCoMo 92.2% (vendor; ByteRover 2.0)",https://www.byterover.dev/,"tier flat-rate: Free; Team $149/mo; Enterprise",https://www.byterover.dev/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Backboard,Dedicated memory layers,0,https://github.com/Backboard-io (no inbound catalog edges),agnostic,https://backboard.io/docs,full CRUD via API,https://backboard.io/docs,"ships own LoCoMo benchmark fork (Backboard-Locomo-Benchmark) — score not headlined",https://github.com/Backboard-io/Backboard-Locomo-Benchmark,"usage-based tiered: free production-ready promo; paid scale tiers",https://backboard.io/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Hyperspell,Dedicated memory layers,0,https://www.hyperspell.com/ (no inbound catalog edges),single-agent,https://www.hyperspell.com/docs,SDK + connector-config (declarative),https://www.hyperspell.com/docs,"no data — searched not found (no published LMES/LoCoMo)",https://www.hyperspell.com/,"no data — searched not found",https://www.hyperspell.com/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memoria (MatrixOrigin),Dedicated memory layers,0,https://github.com/matrixorigin/Memoria (no inbound catalog edges),agnostic,https://github.com/matrixorigin/Memoria,full CRUD via lib,https://github.com/matrixorigin/Memoria,"LMES 88.78% overall (vendor blog)",https://medium.com/@matrixorigin-database/benchmarking-memoria-on-longmemeval-strong-memory-retrieval-clear-reader-separation-ee6c89c75d76,"no data — searched not found",https://github.com/matrixorigin/Memoria,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
OpenMemory,Dedicated memory layers,0,https://github.com/CaviraOSS/OpenMemory (no inbound catalog edges; distinct from OpenMemory MCP wrapper),agnostic,https://openmemory.cavira.app/docs,full CRUD via lib,https://openmemory.cavira.app/docs,"no data — searched not found",https://openmemory.cavira.app/,"OSS only (Apache-2.0); self-hosted ~$5-8/mo for 100k memories",https://openmemory.cavira.app/docs/deployment/backend,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memori,Dedicated memory layers,0,https://github.com/MemoriLabs/Memori (no inbound catalog edges),both,https://memorilabs.ai/docs,full CRUD via SDK,https://memorilabs.ai/docs,"no data — searched not found",https://memorilabs.ai/,"tier flat-rate: free + paid Memori Cloud (builders/growing/production)",https://memorilabs.ai/pricing/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
MemMachine,Dedicated memory layers,0,https://github.com/MemMachine/MemMachine (no inbound catalog edges; Anda Hippocampus is distinct),both,https://memmachine.ai/docs,full CRUD via lib,https://memmachine.ai/docs,"no data — searched not found",https://memmachine.ai/,"OSS free; Enterprise coming soon — no public price",https://memmachine.ai/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memary,Dedicated memory layers,0,https://github.com/kingjulio8238/Memary (no inbound catalog edges),single-agent,https://github.com/kingjulio8238/Memary,full CRUD via lib,https://github.com/kingjulio8238/Memary,"no data — searched not found",https://github.com/kingjulio8238/Memary,"OSS only (MIT)",https://github.com/kingjulio8238/Memary,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Anda Hippocampus,Dedicated memory layers,0,https://github.com/ldclabs/anda-hippocampus (no inbound catalog edges),single-agent,https://github.com/ldclabs/anda-hippocampus,full CRUD via Rust lib,https://github.com/ldclabs/anda-hippocampus,"no data — searched not found",https://github.com/ldclabs/anda-hippocampus,"OSS only (Apache-2.0 + MIT)",https://github.com/ldclabs/anda-hippocampus,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
O-Mem,Dedicated memory layers,0,https://github.com/OPPO-PersonalAI/O-Mem (no inbound catalog edges; academic),single-agent,https://github.com/OPPO-PersonalAI/O-Mem,read-only research code,https://github.com/OPPO-PersonalAI/O-Mem,"no data — searched not found (paper-stage)",https://github.com/OPPO-PersonalAI/O-Mem,"not applicable — academic research code",https://github.com/OPPO-PersonalAI/O-Mem,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
SuperLocalMemory,Dedicated memory layers,0,https://www.superlocalmemory.com/ (no inbound catalog edges),agnostic,https://www.superlocalmemory.com/docs,full CRUD via lib (zero-LLM mode),https://www.superlocalmemory.com/docs,"LoCoMo 74.8% Mode A (zero LLM); 87.7% Mode C (vendor; arxiv 2603.14588)",https://arxiv.org/abs/2603.14588,"no data — searched not found (AGPL v3 OSS)",https://www.superlocalmemory.com/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
VEKTOR Memory,Dedicated memory layers,0,https://www.vektor-memory.com/ (no inbound catalog edges),single-agent,https://dev.to/vektor_memory_43f51a32376/vektor-openai-agents-sdk-production-memory-in-three-lines-59p6,full CRUD via Node/TS lib,https://www.vektor-memory.com/docs,"no data — searched not found",https://www.vektor-memory.com/,"per-seat subscription $9/mo OR one-time $159 commercial license (3 machines)",https://dev.to/vektor_memory_43f51a32376/vektor-openai-agents-sdk-production-memory-in-three-lines-59p6,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memory Store,Dedicated memory layers,0,https://www.ycombinator.com/companies/memory-store (no inbound catalog edges; YC P26 stage),both,https://www.ycombinator.com/companies/memory-store,"no data — searched not found (early stage)",https://www.ycombinator.com/companies/memory-store,"no data — searched not found",https://www.ycombinator.com/companies/memory-store,"no data — searched not found",https://www.ycombinator.com/companies/memory-store,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Interloom,Dedicated memory layers,0,https://interloom.com/ (no inbound catalog edges; enterprise),agnostic,https://interloom.com/en/,enterprise SDK + workflow connectors,https://interloom.com/en/,"no data — searched not found",https://interloom.com/,"enterprise pricing; no setup fees; fixed-price per interaction",https://interloom.com/en/pricing/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Nyne,Dedicated memory layers,0,https://nyne.ai/ (no inbound catalog edges; early stage),agnostic,https://nyne.ai/,"no data — searched not found",https://nyne.ai/,"no data — searched not found",https://nyne.ai/,"no data — searched not found",https://nyne.ai/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
NeoCognition,Dedicated memory layers,0,https://neocognition.io/ (no inbound catalog edges; stealth-emerged April 2026),agnostic,https://neocognition.io/,"no data — searched not found",https://neocognition.io/,"no data — searched not found",https://neocognition.io/,"no data — searched not found",https://neocognition.io/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
MemoraX AI,Dedicated memory layers,0,https://eu.36kr.com/en/p/3785834045583875 (no inbound catalog edges; early stage),agnostic,https://eu.36kr.com/en/p/3785834045583875,"no data — searched not found (intrinsic capability via Agentic RL)",https://eu.36kr.com/en/p/3785834045583875,"no data — searched not found",https://eu.36kr.com/en/p/3785834045583875,"no data — searched not found",https://eu.36kr.com/en/p/3785834045583875,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Trace,Dedicated memory layers,0,https://www.ycombinator.com/companies/trace-so (no inbound catalog edges; YC S25 stage),agnostic,https://www.ycombinator.com/companies/trace-so,"no data — searched not found",https://www.ycombinator.com/companies/trace-so,"no data — searched not found",https://www.ycombinator.com/companies/trace-so,"no data — searched not found",https://www.ycombinator.com/companies/trace-so,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Cellon (Memory.inc),Dedicated memory layers,0,https://en.wowtale.net/2026/04/30/233992/ (no inbound catalog edges; early seed),agnostic,https://en.wowtale.net/2026/04/30/233992/,"no data — searched not found",https://en.wowtale.net/2026/04/30/233992/,"no data — searched not found",https://en.wowtale.net/2026/04/30/233992/,"no data — searched not found",https://en.wowtale.net/2026/04/30/233992/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
MemWal (Walrus),Dedicated memory layers,0,https://decrypt.co/365834/agentic-memory-walrus-takes-on-ais-next-big-bottleneck (no inbound catalog edges; OpenClaw/NemoClaw plugins outbound only),agnostic,https://www.walrus.xyz/docs,SDK over on-chain storage,https://www.walrus.xyz/docs,"no data — searched not found",https://www.walrus.xyz/,"$WAL token-based usage; comparable to centralised models per Mysten Labs",https://www.blocksandfiles.com/ai-ml/2026/03/31/walrus-pitches-memwal-as-decentralized-storage-for-ai-agent-memory/5213479,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Jamba (AI21 Labs),Dedicated memory layers,0,https://www.ai21.com/jamba/ (no inbound catalog edges; foundation-model-as-memory),single-agent,https://docs.ai21.com/,read-only API + on-prem deploy,https://docs.ai21.com/,"vendor: 256K context single 8-GPU node; 3x throughput vs Mixtral 8x7B on long contexts",https://www.ai21.com/jamba/,"per-token-stored / per-API-call: free trial $10; pay-as-you-go per token; enterprise VPC/on-prem custom",https://www.ai21.com/jamba/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Aleph Alpha PhariaAI,Dedicated memory layers,0,https://aleph-alpha.com/phariaai/ (no inbound catalog edges; sovereign enterprise),single-agent,https://aleph-alpha.com/phariaai/,enterprise SDK,https://aleph-alpha.com/phariaai/,"no data — searched not found",https://aleph-alpha.com/phariaai/,"enterprise only (no public pricing)",https://aleph-alpha.com/phariaai/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
AI Singapore SEA-LION,Dedicated memory layers,0,https://sea-lion.ai/models/ (no inbound catalog edges; embedding model + benchmark),agnostic,https://sea-lion.ai/models/,read-only API + HF download,https://sea-lion.ai/models/,"SOTA on SEA-BED for 10 SEA languages (vendor)",https://sea-lion.ai/models/,"OSS only (free download; HF + AISG)",https://sea-lion.ai/models/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Krutrim Kruti (Ola),Dedicated memory layers,0,https://ai-labs.olakrutrim.com/ (no inbound catalog edges; consumer agent),multi-agent,https://www.olakrutrim.com/,SDK for third-party embedding,https://www.olakrutrim.com/,"no data — searched not found (vendor: 13 languages launch)",https://www.olakrutrim.com/,"INR-billed; A100 instances priced; consumer app free at launch",https://www.olakrutrim.com/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
NAVER HyperCLOVA X THINK,Dedicated memory layers,0,https://navercorp.com/en/tech/hyperclovax (no inbound catalog edges; sovereign LLM),single-agent,https://clova.ai/en/hyperclova,enterprise API,https://clova.ai/en/hyperclova,"vendor: outperforms global models on Korean benchmarks",https://navercorp.com/en/tech/hyperclovax,"enterprise only",https://clova.ai/en/hyperclova,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
M3-Agent (ByteDance),Dedicated memory layers,0,https://github.com/ByteDance-Seed/m3-agent (no inbound catalog edges; academic),single-agent,https://github.com/ByteDance-Seed/m3-agent,research code,https://github.com/ByteDance-Seed/m3-agent,"+6.7%/+7.7%/+5.3% on M3-Bench-robot/web/VideoMME-long vs Gemini-1.5-pro+GPT-4o (vendor)",https://github.com/ByteDance-Seed/m3-agent,"not applicable — academic research code",https://github.com/ByteDance-Seed/m3-agent,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
AutoGLM (Zhipu AI),Dedicated memory layers,0,https://xiao9905.github.io/AutoGLM/ (no inbound catalog edges; consumer GUI agent),multi-agent,https://xiao9905.github.io/AutoGLM/,enterprise API + consumer app,https://open.bigmodel.cn/,"vendor: 50+ Chinese apps supported; AutoGLM-Thinking concurrent thinking+acting",https://xiao9905.github.io/AutoGLM/,"per-API-call + tier flat-rate via BigModel pricing",https://open.bigmodel.cn/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
LangMem (LangChain),Framework-embedded memory,1,https://github.com/langchain-ai/langmem (network: LangSmith inbound; LangMem first-party module of LangChain),both,https://langchain-ai.github.io/langmem/,full CRUD + SDK,https://langchain-ai.github.io/langmem/reference/,"no data — searched not found (LangChain ecosystem cites LMES community results, not vendor-stated)",https://langchain-ai.github.io/langmem/,"OSS free; tier flat-rate via LangSmith ($39/mo Plus; Enterprise custom)",https://www.langchain.com/pricing,DAG (LangGraph),https://docs.langchain.com/oss/python/langgraph/concepts/low_level,multiple (key-value + vector + thread/conversation),https://langchain-ai.github.io/langmem/concepts/conceptual_guide/,any (BYO),https://python.langchain.com/docs/integrations/chat/,"Python, Node/TypeScript",https://js.langchain.com/docs/get_started/introduction,checkpoint-resumable thread,https://docs.langchain.com/oss/python/langgraph/persistence
CrewAI Memory,Framework-embedded memory,3,https://github.com/crewAIInc/crewAI (mcp-memory-service inbound; Microsoft Agent Governance Toolkit; ecosystem comparators),multi-agent supervisor,https://docs.crewai.com/concepts/agents,full CRUD via Python SDK,https://docs.crewai.com/api-reference,"no data — searched not found (delegates to Mem0 for long-term)",https://docs.crewai.com/concepts/memory,"OSS free; CrewAI Enterprise tier flat-rate (price not detailed publicly)",https://crewai.com/pricing,multi-agent supervisor (role-based crew),https://docs.crewai.com/concepts/crews,multiple (vector + thread/conversation; Mem0 for long-term),https://docs.crewai.com/concepts/memory,any (BYO),https://docs.crewai.com/concepts/llms,Python,https://github.com/crewAIInc/crewAI,persistent thread (per-crew session),https://docs.crewai.com/concepts/memory
LlamaIndex Memory,Framework-embedded memory,0,https://github.com/run-llama/llama_index (no inbound integration edges in catalog),single-agent,https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/,full CRUD via Python/TS SDK,https://docs.llamaindex.ai/en/stable/api_reference/memory/,"no data — searched not found",https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,"OSS free; LlamaCloud tier flat-rate",https://www.llamaindex.ai/pricing,ReAct + state-machine (Workflows),https://docs.llamaindex.ai/en/stable/module_guides/workflow/,multiple (FIFO chat + vector long-term blocks),https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/,any (BYO),https://docs.llamaindex.ai/en/stable/module_guides/models/llms/,"Python, Node/TypeScript",https://ts.llamaindex.ai/,persistent thread (Memory class),https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/memory/
