row_name,section,integration_count,integration_count_cite,orchestration_patterns,orchestration_patterns_cite,programmatic_control,programmatic_control_cite,vendor_benchmarks,vendor_benchmarks_cite,pricing_specifics,pricing_specifics_cite,agent_abstraction,agent_abstraction_cite,memory_primitives,memory_primitives_cite,llm_lock,llm_lock_cite,runtimes,runtimes_cite,session_handling,session_handling_cite
AutoGen Memory,Framework-embedded memory,1,https://github.com/microsoft/autogen (Zep listed as memory option; merged into Microsoft Agent Framework Oct 2025),multi-agent supervisor,https://microsoft.github.io/autogen/,full CRUD via Python SDK,https://microsoft.github.io/autogen/,"no data — searched not found",https://microsoft.github.io/autogen/,"OSS (MIT) free; Azure AI Foundry consumption-based when managed",https://github.com/microsoft/autogen,multi-agent supervisor (group chat),https://microsoft.github.io/autogen/docs/tutorial/conversation-patterns,multiple (ListMemory chronological + teachable vector),https://microsoft.github.io/autogen/docs/tutorial/memory,any (BYO via OpenAI-compatible adapters),https://microsoft.github.io/autogen/,Python,https://github.com/microsoft/autogen,sticky session (conversable agent),https://microsoft.github.io/autogen/docs/tutorial/conversation-patterns
Mastra Memory,Framework-embedded memory,0,https://github.com/mastra-ai/mastra (no catalog inbound edges),both,https://mastra.ai/docs/memory/overview,full CRUD via TS SDK,https://mastra.ai/docs/reference,"LMES 94.87% with gpt-5-mini; 84.23% with gpt-4o (vendor)",https://mastra.ai/blog/observational-memory,"OSS free + Mastra Cloud paid (price tiers not detailed publicly)",https://mastra.ai/pricing,DAG (Workflow) + actor (Agent),https://mastra.ai/docs/agents/00-overview,multiple (LibSQL key-value + vector via fastembed-js),https://mastra.ai/docs/memory/overview,any (BYO; OpenAI/Anthropic/Google/local),https://mastra.ai/docs/llms-and-providers/00-overview,Node/TypeScript,https://mastra.ai/docs/getting-started/installation,persistent thread (per-thread memory),https://mastra.ai/docs/memory/overview
Semantic Kernel Memory,Framework-embedded memory,0,https://github.com/microsoft/semantic-kernel (no catalog inbound edges; merged into Microsoft Agent Framework),single-agent,https://learn.microsoft.com/en-us/semantic-kernel/overview/,full CRUD via plugin API (.NET/Python/Java),https://learn.microsoft.com/en-us/semantic-kernel/concepts/plugins/,"no data — searched not found",https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory,"OSS (MIT) free; pay only Azure/model consumption",https://learn.microsoft.com/en-us/semantic-kernel/overview/,ReAct + plan-and-execute,https://learn.microsoft.com/en-us/semantic-kernel/concepts/planners/,multiple (vector + key-value via plugin),https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory,any (BYO via connectors),https://learn.microsoft.com/en-us/semantic-kernel/concepts/ai-services/,"Python, .NET, Java",https://learn.microsoft.com/en-us/semantic-kernel/get-started/supported-languages,sticky session,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/agent-memory
Pydantic-AI + Hindsight,Framework-embedded memory,0,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory (Hindsight is the memory; Pydantic-AI ships none; outbound integration only),single-agent,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,full CRUD via Hindsight SDK,https://hindsight.vectorize.io/docs,"LMES 91% (Hindsight; vendor)",https://hindsight.vectorize.io/,"OSS pydantic-ai (MIT); Hindsight pricing separate",https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,ReAct,https://ai.pydantic.dev/agents/,thread/conversation (auto-injected memory instructions),https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,any (BYO via Anthropic/OpenAI/Google/Groq/Mistral providers),https://ai.pydantic.dev/models/,Python,https://ai.pydantic.dev/install/,stateless by default (memory bolted on),https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory
LangGraph Persistence,Framework-embedded memory,5,https://docs.langchain.com/oss/python/langgraph/persistence (AWS AgentCore/mcp-memory-service/LangSmith/MongoDB Atlas/LangMem inbound),both,https://docs.langchain.com/oss/python/langgraph/persistence,full CRUD via Python/TS SDK,https://docs.langchain.com/oss/python/langgraph/reference,"no data — searched not found",https://docs.langchain.com/oss/python/langgraph/,"OSS (MIT) free; LangSmith Deployment Free 100k nodes/mo; Plus/Enterprise tier flat-rate + usage",https://www.zenml.io/blog/langgraph-pricing,DAG (StateGraph),https://docs.langchain.com/oss/python/langgraph/concepts/low_level,multiple (checkpointer thread + Store key-value + vector + TTL),https://docs.langchain.com/oss/python/langgraph/persistence,any (BYO),https://python.langchain.com/docs/integrations/chat/,"Python, Node/TypeScript",https://js.langchain.com/docs/langgraph,checkpoint-resumable thread,https://docs.langchain.com/oss/python/langgraph/persistence
smolagents Memory,Framework-embedded memory,0,https://github.com/huggingface/smolagents (no catalog inbound edges; barebones),single-agent,https://huggingface.co/docs/smolagents/tutorials/memory,read-only API + step-callback hooks (no built-in persistence),https://huggingface.co/docs/smolagents/tutorials/memory,"no data — searched not found",https://huggingface.co/docs/smolagents/,"OSS (Apache-2.0) free; HF Enterprise Hub $20/user/mo",https://huggingface.co/pricing,ReAct (CodeAct),https://huggingface.co/blog/smolagents,scratchpad/working (Python list),https://huggingface.co/docs/smolagents/tutorials/memory,any (BYO via HF Inference / OpenAI / local),https://huggingface.co/docs/smolagents/,Python,https://github.com/huggingface/smolagents,stateless by default (persistence DIY),https://huggingface.co/docs/smolagents/tutorials/memory
Agno (Phidata) Memory,Framework-embedded memory,0,https://github.com/agno-agi/agno (5 outbound — LanceDB/Pinecone/Weaviate/Qdrant/Neptune; 0 catalog inbound),both,https://docs.phidata.com/agents/memory,full CRUD via Python SDK,https://docs.phidata.com/agents,"no data — searched not found",https://docs.phidata.com/agents/memory,"OSS (Apache-2.0) free; Agno Cloud usage-based with free tier; no per-event fees; no egress",https://www.agno.com/pricing,multi-agent supervisor (Team) + actor (Agent),https://docs.phidata.com/agents/teams,multiple (AgentStorage DB + AgentMemory vector),https://docs.phidata.com/agents/memory,any (BYO),https://docs.phidata.com/agents/llms,Python,https://github.com/agno-agi/agno,persistent thread (per-session),https://docs.phidata.com/agents/memory
Strands Agents Memory (AWS),Framework-embedded memory,0,https://strandsagents.com/ (5 outbound — Mem0/Bedrock AgentCore/FAISS/OpenSearch/Neptune; 0 catalog inbound),both,https://strandsagents.com/,full CRUD via Python SDK,https://strandsagents.com/api,"no data — searched not found",https://strandsagents.com/,"OSS free; Bedrock AgentCore Memory $0.25/1k short-term events; Runtime separately priced (per-API-call + per-token)",https://aws.amazon.com/bedrock/agentcore/pricing/,multi-agent supervisor + ReAct,https://strandsagents.com/,multiple (FAISS local; OpenSearch prod; Mem0 long-term),https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html,multi-vendor (Bedrock/Anthropic/Gemini/OpenAI),https://strandsagents.com/,Python,https://strandsagents.com/,checkpoint-resumable thread (Bedrock AgentCore),https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/strands-sdk-memory.html
OpenAI Agents SDK Memory,Framework-embedded memory,0,https://openai.github.io/openai-agents-python/ (Pinecone outbound; 0 catalog inbound),both,https://openai.github.io/openai-agents-python/ref/memory/,full CRUD via Python/JS SDK,https://openai.github.io/openai-agents-python/ref/,"no data — searched not found",https://openai.github.io/openai-agents-python/,"SDK OSS free; pay OpenAI API (e.g. GPT-5.4 $2.50/$15 per M tokens) — per-token-stored",https://openai.com/api/pricing/,ReAct (Sessions + RunContext),https://openai.github.io/openai-agents-python/ref/memory/,multiple (Sessions working + categorised long-term project/user/policy + external vector),https://openai.github.io/openai-agents-python/ref/memory/,single-vendor (OpenAI; OpenAI-Compatible adapters possible),https://openai.github.io/openai-agents-python/,"Python, Node/TypeScript",https://github.com/openai/openai-agents-js,sticky session + persistent thread,https://openai.github.io/openai-agents-python/ref/memory/
Google ADK Memory,Framework-embedded memory,1,https://google.github.io/adk-docs/ (Cognee native integration inbound; 0 catalog inbound),both,https://google.github.io/adk-docs/sessions/memory/,full CRUD via Python SDK + REST,https://google.github.io/adk-docs/api-reference,"no data — searched not found",https://google.github.io/adk-docs/,"ADK OSS free; Vertex AI Memory Bank + Agent Engine consumption-based pay-per-use (per-API-call)",https://docs.cloud.google.com/agent-builder/agent-development-kit/overview,multi-agent supervisor + ReAct,https://google.github.io/adk-docs/,multiple (Session InMemory/Database/VertexAI + MemoryBank long-term),https://google.github.io/adk-docs/sessions/memory/,multi-vendor (Vertex/Anthropic/OpenAI via plugins),https://google.github.io/adk-docs/,"Python, Java",https://google.github.io/adk-docs/get-started/installation,persistent thread (Memory Bank),https://google.github.io/adk-docs/sessions/memory/
Haystack Memory (deepset),Framework-embedded memory,1,https://github.com/deepset-ai/haystack (Mem0 listed as memory store option; 0 catalog inbound),single-agent,https://haystack.deepset.ai/,full CRUD via pipeline component (Python),https://docs.haystack.deepset.ai/reference,"no data — searched not found",https://haystack.deepset.ai/,"OSS (Apache-2.0) free; deepset Cloud tier flat-rate + Enterprise Platform custom",https://www.deepset.ai/products-and-services/haystack-enterprise-platform,DAG (declarative pipeline),https://docs.haystack.deepset.ai/docs/pipelines,multiple (InMemoryChatMessageStore + ConversationSummaryMemory + external),https://docs.haystack.deepset.ai/docs/memory,any (BYO via Generators),https://docs.haystack.deepset.ai/docs/generators,Python,https://github.com/deepset-ai/haystack,sticky session (pipeline-scoped),https://docs.haystack.deepset.ai/docs/memory
Spring AI ChatMemory,Framework-embedded memory,1,https://spring.io/projects/spring-ai (Neo4j outbound; 0 catalog inbound),single-agent,https://docs.spring.io/spring-ai/reference/api/chat-memory.html,full CRUD via Java SDK + ChatMemoryRepository plugin,https://docs.spring.io/spring-ai/reference/api/chat-memory.html,"no data — searched not found",https://docs.spring.io/spring-ai/reference/,"OSS (Apache-2.0) free; Tanzu Spring Enterprise subscription for commercial support",https://techdocs.broadcom.com/us/en/vmware-tanzu/spring/tanzu-spring/commercial/spring-tanzu/spring-enterprise-subscription.html,actor model (ChatClient + Advisor),https://docs.spring.io/spring-ai/reference/api/chatclient.html,multiple (MessageWindowChatMemory + JDBC/Cassandra/Neo4j repository),https://docs.spring.io/spring-ai/reference/api/chat-memory.html,any (BYO via ChatModel),https://docs.spring.io/spring-ai/reference/api/chatmodel.html,Java,https://docs.spring.io/spring-ai/reference/getting-started.html,sticky session (per ChatClient),https://docs.spring.io/spring-ai/reference/api/chat-memory.html
DSPy History,Framework-embedded memory,0,https://dspy.ai/ (Mem0 outbound via tutorial; 0 catalog inbound),single-agent,https://dspy.ai/api/primitives/History/,DSL (Signature primitive — typed field),https://dspy.ai/api/primitives/History/,"no data — searched not found",https://dspy.ai/,"OSS (Apache-2.0) free; dspy.ai commercial services pricing not publicly listed",https://getlatka.com/companies/dspy.ai/funding,state-machine (Module compose) + ReAct,https://dspy.ai/learn/programming/modules/,thread/conversation (messages: list[dict]),https://dspy.ai/api/primitives/History/,any (BYO via dspy.LM),https://dspy.ai/learn/programming/language_models/,Python,https://dspy.ai/learn/installation/,stateless (DSPy compiles forward; memory injected as field),https://dspy.ai/api/primitives/History/
Pydantic-AI MemoryTool,Framework-embedded memory,0,https://ai.pydantic.dev/ (Anthropic SDK passthrough; 0 catalog inbound),single-agent,https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,read-only via BetaAbstractMemoryTool (Anthropic delegated),https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,"no data — searched not found",https://ai.pydantic.dev/,"OSS (MIT) free; pay Anthropic API; Pydantic Logfire separate",https://pydantic.dev/pydantic-ai,ReAct,https://ai.pydantic.dev/agents/,thread/conversation (Anthropic memory tool),https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,single-vendor (Anthropic only for memory tool; multi-vendor for chat),https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,Python,https://ai.pydantic.dev/install/,stateless (memory provider-delegated),https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/
Inngest AgentKit — Network State,Framework-embedded memory,0,https://agentkit.inngest.com/ (Mem0 cookbook outbound; 0 catalog inbound),multi-agent supervisor,https://agentkit.inngest.com/concepts/memory,full CRUD via TS SDK + Inngest functions,https://agentkit.inngest.com/reference,"no data — searched not found",https://agentkit.inngest.com/,"tier flat-rate: Free; Pro; Enterprise custom (price not published)",https://www.inngest.com/pricing,multi-agent supervisor + state-machine (Network),https://agentkit.inngest.com/concepts/networks,key-value (Network State shared),https://agentkit.inngest.com/concepts/memory,any (BYO),https://agentkit.inngest.com/concepts/models,Node/TypeScript,https://agentkit.inngest.com/getting-started/installation,checkpoint-resumable (durable Inngest function),https://agentkit.inngest.com/concepts/memory
Rivet Memory Node (Ironclad),Framework-embedded memory,0,https://rivet.ironcladapp.com/ (no catalog inbound),single-agent,https://rivet.ironcladapp.com/docs,full CRUD via visual graph node,https://rivet.ironcladapp.com/docs,"no data — searched not found",https://rivet.ironcladapp.com/,"OSS (MIT) free",https://github.com/Ironclad/rivet,DAG (visual graph),https://rivet.ironcladapp.com/docs,key-value (stable-ID memory node),https://rivet.ironcladapp.com/docs,any (BYO),https://rivet.ironcladapp.com/docs,Node/TypeScript,https://github.com/Ironclad/rivet,sticky session (graph execution scoped),https://rivet.ironcladapp.com/docs
AGiXT Adaptive Memory,Framework-embedded memory,0,https://github.com/Josh-XT/AGiXT (no catalog inbound),multi-agent supervisor,https://github.com/Josh-XT/AGiXT,full CRUD via REST + Python plugin SDK,https://josh-xt.github.io/AGiXT/,"no data — searched not found",https://josh-xt.github.io/AGiXT/,"OSS (MIT) free; agixt.com hosted service price not publicly listed",https://agixt.com/,multi-agent supervisor + state-machine,https://josh-xt.github.io/AGiXT/,multiple (short + long-term + plugin backends),https://josh-xt.github.io/AGiXT/,multi-vendor (20+ LLM providers),https://github.com/Josh-XT/AGiXT,Python,https://github.com/Josh-XT/AGiXT,persistent thread,https://josh-xt.github.io/AGiXT/
n8n AI Agent Memory,Framework-embedded memory,0,https://n8n.io/ (4 outbound — Qdrant/Pinecone/MongoDB/Redis; 0 catalog inbound),hybrid,https://docs.n8n.io/advanced-ai/examples/understand-memory/,declarative config (workflow nodes),https://docs.n8n.io/integrations/builtin/cluster-nodes/sub-nodes/,"no data — searched not found",https://docs.n8n.io/advanced-ai/,"per-execution: free self-hosted Community Edition; Cloud Starter €20/mo; Pro €50/mo; Business $800/mo (40k executions); Enterprise custom",https://n8n.io/pricing/,DAG (workflow),https://docs.n8n.io/workflows/,multiple (Simple/Postgres/Redis + Qdrant/Pinecone/MongoDB),https://docs.n8n.io/advanced-ai/examples/understand-memory/,any (BYO via LLM nodes),https://docs.n8n.io/integrations/builtin/cluster-nodes/root-nodes/n8n-nodes-langchain.lmchatopenai/,"Node/TypeScript runtime; declarative cross-language",https://github.com/n8n-io/n8n,sticky session (per workflow execution),https://docs.n8n.io/advanced-ai/examples/understand-memory/
Voiceflow Memory,Framework-embedded memory,0,https://www.voiceflow.com/ (no catalog inbound),single-agent,https://docs.voiceflow.com/docs/memory,declarative config + REST API,https://docs.voiceflow.com/reference,"no data — searched not found",https://www.voiceflow.com/,"tier flat-rate: Free 100 credits/mo; Pro $60/mo (10k credits); Business $150/mo/editor",https://www.voiceflow.com/pricing,state-machine (chatbot flow),https://docs.voiceflow.com/docs,thread/conversation (vf_memory transcript variable),https://docs.voiceflow.com/docs/memory,multi-vendor (OpenAI/Anthropic/Gemini/Cohere),https://docs.voiceflow.com/docs/llm-config,declarative cross-language,https://www.voiceflow.com/,sticky session (configurable up to 100 turns; optional indefinite cross-session),https://docs.voiceflow.com/docs/memory
Flowise Memory,Framework-embedded memory,0,https://flowiseai.com/ (LangChain ecosystem inbound from network analysis; framework wraps LangChain memory),single-agent,https://docs.flowiseai.com/integrations/langchain/memory,declarative config (visual canvas) + REST,https://docs.flowiseai.com/api-reference,"no data — searched not found",https://flowiseai.com/,"pre-Workday OSS free + Starter $35/mo + Pro $65/mo; post-Workday acquisition Aug 2025 — pricing in transition",https://newsroom.workday.com/2025-08-14-Workday-Acquires-Flowise,DAG (visual canvas wraps LangChain),https://docs.flowiseai.com/,multiple (Buffer/Buffer Window/Conversation Summary backed by chat_message DB),https://docs.flowiseai.com/integrations/langchain/memory,any (BYO via LangChain LLMs),https://docs.flowiseai.com/integrations/langchain/chat-models,Node/TypeScript,https://github.com/FlowiseAI/Flowise,persistent thread (per chatflow session),https://docs.flowiseai.com/integrations/langchain/memory
Langflow Memory,Framework-embedded memory,0,https://www.langflow.org/ (LangChain ecosystem inbound; Mem0 + Redis bundled outbound),both,https://docs.langflow.org/memory,declarative config (visual) + REST,https://docs.langflow.org/api,"no data — searched not found",https://docs.langflow.org/,"OSS (MIT) free; DataStax Langflow cloud deprecated Mar 2026; self-host infra cost only",https://www.miniloop.ai/blog/langflow-pricing-2026,DAG (visual flow),https://docs.langflow.org/,multiple (built-in chat memory + Mem0 + Redis bundled),https://docs.langflow.org/memory,any (BYO via LangChain),https://docs.langflow.org/components/llms,Python,https://github.com/langflow-ai/langflow,sticky session (session-ID-keyed),https://docs.langflow.org/memory
Botpress LLMz,Framework-embedded memory,0,https://botpress.com/ (no catalog inbound),single-agent,https://botpress.com/docs/llmz,declarative config + REST,https://botpress.com/reference,"no data — searched not found",https://botpress.com/,"per-message + tier flat-rate: Free 500 msgs/mo; Plus $89/mo (1GB Vector); Team $495/mo (2GB); Enterprise custom; AI Spend separate",https://botpress.com/pricing,state-machine (LLMz autonomous engine),https://botpress.com/docs/llmz,multiple (working memory + Knowledge Base vector),https://botpress.com/docs/knowledge-bases,multi-vendor,https://botpress.com/docs/llms,declarative cross-language,https://botpress.com/,persistent thread (cross-session user memory),https://botpress.com/features/knowledge-bases
Relevance AI Memory,Framework-embedded memory,0,https://relevanceai.com/ (no catalog inbound),multi-agent supervisor,https://relevanceai.com/docs/agent/build-your-agent/memory,full CRUD via API + visual builder,https://relevanceai.com/docs/api,"no data — searched not found",https://relevanceai.com/,"per-API-call + tier flat-rate: Free 200 actions/mo; Pro $19/mo; Team $234/mo; Business/Enterprise 2 credits per run",https://relevanceai.com/pricing,multi-agent supervisor (Workforce),https://relevanceai.com/docs/multi-agent,multiple (conversation metadata KV + persistent cross-session),https://relevanceai.com/docs/agent/build-your-agent/memory,multi-vendor,https://relevanceai.com/docs,declarative cross-language,https://relevanceai.com/,persistent thread,https://relevanceai.com/docs/agent/build-your-agent/memory
Lindy AI Memory,Framework-embedded memory,0,https://www.lindy.ai/ (no catalog inbound),single-agent,https://docs.lindy.ai/fundamentals/lindy-101/memory,declarative config (no-code editor),https://docs.lindy.ai/,"no data — searched not found",https://www.lindy.ai/,"tier flat-rate: Free; Plus $49.99/mo; Pro $99.99/mo; Max $199.99/mo; Enterprise SSO/SCIM/audit custom",https://www.lindy.ai/pricing,state-machine (skill-based),https://docs.lindy.ai/,key-value (high-signal facts injected per call),https://docs.lindy.ai/fundamentals/lindy-101/memory,multi-vendor,https://docs.lindy.ai/,declarative cross-language,https://www.lindy.ai/,persistent thread (memory persists all future executions),https://docs.lindy.ai/fundamentals/lindy-101/memory
Vapi (voice agents),Framework-embedded memory,0,https://vapi.ai/ (no catalog inbound),multi-agent supervisor,https://docs.vapi.ai/squads,declarative config + REST,https://docs.vapi.ai/api-reference,"no data — searched not found",https://vapi.ai/,"per-API-call: pay-per-use per call minute",https://vapi.ai/pricing,multi-agent supervisor (Squad mode),https://docs.vapi.ai/squads,key-value (call state variables),https://docs.vapi.ai/,multi-vendor,https://docs.vapi.ai/,declarative cross-language,https://vapi.ai/,sticky session (call-scoped only),https://docs.vapi.ai/
Retell AI,Framework-embedded memory,0,https://www.retellai.com/ (no catalog inbound),multi-agent supervisor,https://docs.retellai.com/agent/multi-agent,declarative config + REST,https://docs.retellai.com/api-references,"no data — searched not found",https://www.retellai.com/,"per-API-call: pay-per-use per minute; free tier",https://www.retellai.com/pricing,multi-agent supervisor,https://docs.retellai.com/agent/multi-agent,multiple (in-call short-term + webhook-CRM long-term),https://docs.retellai.com/agent/agent-memory,multi-vendor,https://docs.retellai.com/,declarative cross-language,https://www.retellai.com/,sticky session (call-scoped) + persistent via webhook,https://docs.retellai.com/agent/agent-memory
Stack AI,Framework-embedded memory,0,https://www.stackai.com/ (no catalog inbound),single-agent,https://docs.stack-ai.com/,declarative config (no-code) + REST,https://docs.stack-ai.com/api-reference,"no data — searched not found",https://www.stackai.com/,"tier flat-rate: Free + Enterprise custom",https://www.stackai.com/pricing,DAG (visual workflow) + ReAct,https://docs.stack-ai.com/,file (enterprise data sources as memory layer; no separate session/cross-session store),https://docs.stack-ai.com/,multi-vendor,https://docs.stack-ai.com/,declarative cross-language,https://www.stackai.com/,stateless (runtime querying enterprise sources),https://docs.stack-ai.com/
