row_name,new_claims_value,citation_url,status
EWC (Elastic Weight Consolidation),Foundational continual-learning method analogous to synaptic consolidation; selectively slows learning on weights important for prior tasks. Headline: enables a single network to learn many tasks sequentially without forgetting (no specific quantitative headline in abstract); baseline: SGD without consolidation; primary datasets: permuted-MNIST and several Atari 2600 games.,https://arxiv.org/abs/1612.00796,deepened
ExpeL,"LLM agent extracts knowledge as natural language from training tasks without parameter updates; in-context learning over accumulated experiences; AAAI 2024. Headline: 59% success on ALFWorld, beating ReAct (40%) and matching/exceeding Reflexion without task reattempts; baselines: ReAct and Act agents; primary datasets: HotpotQA (100 val), ALFWorld (134 solvable), WebShop (100), FEVER.",https://arxiv.org/abs/2308.10144,deepened
Fincon,"LLM multi-agent framework for financial decisions with manager-analyst hierarchy and conceptual verbal reinforcement; episodic self-critique; selective propagation reduces communication. Headline: 82.871% cumulative return on TSLA with 1.972 Sharpe ratio vs. Buy-and-Hold 6.425%; baselines: Buy-and-Hold, DRL agents (A2C, PPO, DQN), LLM-based FinGPT/FinMem/FinAgent; primary dataset: 8 stocks (TSLA, AMZN, NIO, MSFT, AAPL, GOOG, NFLX, COIN) Jan 2022 - Jun 2023 with prices/news/10-Q/10-K/earnings audio.",https://arxiv.org/abs/2407.06567,deepened
FLEX,"Gradient-free continual evolution of LLM agents via structured experience library through reflection on success/failure; identifies scaling laws of experiential growth. Headline: AIME25 +23% (40%->63.3% for Claude-Sonnet-4), USPTO50k +10%, ProteinGym +14%; baseline: vanilla LLM without experience library; primary datasets: AIME25, USPTO50k, ProteinGym.",https://arxiv.org/abs/2511.06449,deepened
FOREVER,"Forgetting-curve-inspired memory replay for continual LLM learning; model-centric notion of time via optimizer update magnitude; intensity-aware regularization. Headline: 72.9% Overall Performance and -4.7% Backward Transfer on Standard CL Benchmark with Qwen3-0.6B, outperforming VBM by 1.2% OP and 0.9% BWT; baseline: VBM (Ebbinghaus-inspired replay scheduling); primary datasets: Standard CL Benchmark, Long Sequence Benchmark, SuperNI Benchmark.",https://arxiv.org/abs/2601.03938,deepened
G-Memory,Hierarchical agentic memory for multi-agent systems with three-tier graph (insight/query/interaction); bi-directional traversal. Headline: +20.89% embodied action success and +10.12% knowledge-QA accuracy over prevailing MAS memory mechanisms; baselines: prevailing MAS memory mechanisms; primary datasets: 5 benchmarks across 3 LLM backbones and 3 MAS frameworks.,https://arxiv.org/abs/2506.07398,deepened
GAM (General Agentic Memory),"Generic agentic memory framework for long-horizon LLM tasks. Headline: 64.07 F1 on HotpotQA-56K, vs. Mem0 (30.12) and MemoryOS (24.58); baselines: A-Mem, Mem0, MemoryOS, LightMem, long-LLM, RAG; primary datasets: LoCoMo, HotpotQA, RULER, NarrativeQA.",https://arxiv.org/abs/2511.18423,deepened
Generative Agents,Park et al. simulacra of human behavior in a sandbox town with 25 agents emergent social dynamics. Headline: case-study of believable behavior (Valentine's Day party emergence) — no quantitative headline in abstract; baseline: ablations of memory/reflection components; primary dataset: custom Smallville sandbox (25 agents in The Sims-style environment).,https://arxiv.org/abs/2304.03442,deepened
Genie,"Generative interactive environment trained unsupervised on 11B parameters from internet videos; learns latent action space without ground-truth actions. Headline: FVD 40.1 on Platformers and Δ_t PSNR of 1.91 for action controllability; baselines: oracle behavioral cloning, random agent, ViT tokenizer (FVD 114.5), C-ViViT (FVD 272.7); primary datasets: Platformers (6.8M 16-second clips, 30K hours, 2D platformers); RT1 robotics dataset for transfer.",https://arxiv.org/abs/2402.15391,deepened
H2O,"Heavy-Hitter Oracle for KV-cache eviction balancing recent and high-impact tokens. Headline: up to 29x throughput on OPT-6.7B/OPT-30B with 20% heavy hitters retained, 1.9x latency reduction; baselines: DeepSpeed Zero-Inference, Hugging Face Accelerate, FlexGen; primary datasets: OPT/LLaMA/GPT-NeoX evaluated on HELM and lm-eval-harness (COPA, MathQA, OpenBookQA, PiQA, RTE, Winogrande, XSUM, CNN/Daily Mail), AlpacaEval, MT-Bench.",https://arxiv.org/abs/2306.14048,deepened
HAMI,Hierarchical adaptive memory inference for sequential decision making. Source URL (Nature Sci. Reports) returned 303 redirect; no headline metric/baseline/dataset extractable from preview.,https://www.nature.com/articles/s41598-025-10586-x,no-headline-metric
HeLa-Mem,Heterogeneous-language memory for long-conversation LLMs. Headline: superior performance across four question categories on LoCoMo with significantly fewer context tokens (no specific headline percent in abstract); baseline: existing memory systems using unstructured embedding vectors via semantic similarity; primary dataset: LoCoMo.,https://arxiv.org/abs/2604.16839,deepened
Human-Like Remembering and Forgetting,Forgetting-curve-inspired LLM memory model. Source URL behind ACM paywall (403); no headline metric/baseline/dataset extractable.,https://dl.acm.org/doi/10.1145/3765766.3765803,no-headline-metric
H²R,"Hierarchical Hindsight Reflection separates high-level planning memory from low-level execution memory; refined continuously through distillation. Headline: 75.9% on AlfWorld and 80.5% on PDDLGame, +3.5% and +8.3% relative over ExpeL; baseline: ExpeL; primary datasets: AlfWorld and PDDLGame.",https://arxiv.org/abs/2509.12810,deepened
I-JEPA,Image-based Joint-Embedding Predictive Architecture for self-supervised pretraining. Headline: ViT-Huge/14 trained on ImageNet in <72 hours on 16 A100 GPUs (no explicit comparison metric in abstract); baseline: prior self-supervised image pretraining; primary dataset: ImageNet.,https://arxiv.org/abs/2301.08243,deepened
Inducing Programmatic Skills,"Agent Skill Induction (ASI) on the fly via program-based skills with verification. Headline: 40.4% success on WebArena, vs. vanilla baseline 32.7% (+7.7pp) and AWM text-skill 36.3% (+4.1pp), with 15.3% fewer steps; baselines: vanilla Claude agent and AWM (text-skill counterpart); primary dataset: WebArena (812 examples across 5 web domains).",https://arxiv.org/abs/2504.06821,deepened
Infini-attention,"Bounded-memory streaming attention with infinite context in principle. Headline: 9.67 ppl on PG19 with 114x memory compression vs. Memorizing Transformer 11.37 and Transformer-XL 11.88; solves 1M-token passkey retrieval after 5K-sequence fine-tune; baselines: Memorizing Transformer, Transformer-XL; primary datasets: PG19, ArXiv-math, 1M passkey-retrieval, 500K BookSum.",https://arxiv.org/abs/2404.07143,deepened
IterResearch,"Iterative paradigm for long-horizon research agents using interaction scaling and evolving report as persistent memory; ICLR 2026. Headline: +14.5pp avg over six benchmarks; +19.2pp over ReAct on frontier models; gains 3.5%->42.5% extending to 2048 interactions; baselines: Search-o1, WebThinker, WebDancer, WebSailor; primary datasets: HLE, BrowseComp, BrowseComp-zh, GAIA, Xbench-DeepSearch, SEAL-0.",https://arxiv.org/abs/2511.07327,deepened
JARVIS-1,"Open-world Minecraft agent combining multimodal LM with memory of pre-trained knowledge and game survival; completes 200+ tasks. Headline: 12.5% on ObtainDiamondPickaxe in 60 minutes — 5x SOTA reliability (vs. VPT at 2.5% in 20min, DEPS ~2.42%); baselines: GPT-based planning, ReAct, Inner Monologue, DEPS, VPT; primary dataset: 200+ Minecraft Universe Benchmark tasks across 11 task groups.",https://arxiv.org/abs/2311.05997,deepened
Knowledge Graph Tuning,"Real-time LLM personalization without parameter updates by extracting personalized factual triples and optimizing user-specific KGs; reduces compute by avoiding back-prop. Headline: 39%-61% efficacy improvement on Llama3-8B over six baselines; baselines: Fine-tuning, ROME, Knowledge Editing, Knowledge Neurons, MEND; primary datasets: CounterFact and CounterFactExtension.",https://arxiv.org/abs/2405.19686,deepened
Larimar,"Episodic memory module attached to a frozen LLM for fast knowledge editing without retraining. Headline: 8-10x speed-ups vs. competitive baselines with comparable accuracy on fact-editing; baselines: ROME, MEMIT, MEND, IKE on sequential editing; primary datasets: multiple fact-editing benchmarks (sequential setup).",https://arxiv.org/abs/2403.11901,deepened
LearnAct,"Human-demonstration-based mobile GUI agent with DemoParser/KnowSeeker/ActExecutor; LearnGUI dataset. Headline: Gemini-1.5-Pro 19.3%->51.7% with single demo (+198.9% relative); UI-TARS-7B-SFT 18.1%->32.8% online (+14.7%); baselines: zero-shot inference of same models; SPHINX-GUI Agent (67.2% on AMEX); primary datasets: LearnGUI-Offline (2,252 tasks across 9 apps) and LearnGUI-Online (101 tasks across 20 apps).",https://arxiv.org/abs/2504.13805,deepened
LEGOMem,"Modular procedural memory for multi-agent LLM workflow automation; decomposes trajectories into reusable units distributed across orchestrator/agents. Headline: +12.61/+12.72/+13.38pp absolute on LLM/Hybrid/SLM teams over memory-less baseline; baselines: no-memory, Synapse, Agent Workflow Memory (AWM); primary dataset: OfficeBench (300 multi-step tasks across Word, Excel, Calendar, Email, System, OCR-PDF).",https://arxiv.org/abs/2510.04851,deepened
LightMem,"Sensory/short-term/long-term human-cognition memory system with offline sleep-time consolidation. Headline: QA accuracy +2.09-6.40% (GPT) and up to +7.67% (Qwen) while reducing token usage 38x/21.8x and API calls 30x/55.5x; baselines: LangMem, A-MEM, MemoryOS, Mem0, NaiveRAG, FullText; primary datasets: LongMemEval (LongMemEval-S) and LoCoMo.",https://arxiv.org/abs/2510.18866,deepened
LLM-ACTR / Cognitive LLMs,ACT-R cognitive-architecture-grounded LLM agents combining symbolic working memory with LLM reasoning. Headline: improved task performance and grounded decision-making over LLM-only chain-of-thought baselines (no specific headline percent in abstract); baseline: LLM-only chain-of-thought; primary dataset: Design for Manufacturing tasks.,https://arxiv.org/abs/2408.09176,deepened
LM2,Decoder-only Transformer with auxiliary memory module via cross-attention and gating; preserves general-purpose capabilities. Headline: +86.3% over Llama-3.2 average across BABILong; +37.1% over RMT; +5.0% on MMLU; baselines: vanilla Llama-3.2 and Recurrent Memory Transformer (RMT); primary datasets: BABILong (0K-128K tokens) and MMLU.,https://arxiv.org/abs/2502.06049,deepened
LongMem,"Frozen backbone LLM + adaptive residual side-network as memory retriever/reader; ~65K token memory bank. Headline: 40.5% identification accuracy on ChapterBreak vs. GPT-3 28% with 313x fewer parameters; -1.38 to -1.62 perplexity on PG-22; baselines: Memorizing Transformer (MemTRM) and reproduced GPT-2 (407M Alibi); primary datasets: ChapterBreak, PG-22, ArXiv papers, plus ICL on SST-2/MR/Subj/SST-5/MPQA.",https://arxiv.org/abs/2306.07174,deepened
Lyfe Agents,"Real-time generative agents with option-action framework, asynchronous self-monitoring, summarize-and-forget memory; LyfeGame 3D virtual environment. Headline: 10-100x lower computational cost ($0.50/agent-human-hour vs. ~$25 for Park et al. Generative Agents); 60%+ correct-suspect identification on 9-agent Murder Mystery within 15 simulated minutes; baseline: Park et al. (2023) Stanford Generative Agents; primary dataset: LyfeGame Murder Mystery, Activity Fair, Medicine scenarios.",https://arxiv.org/abs/2310.02172,deepened
M+ (MemoryLLM),Long-term memory mechanism with co-trained retriever extending MemoryLLM via 1B-param latent-space memory pool compressing past info into hidden states. Headline: extends knowledge retention from <20K to >160K tokens at similar GPU memory; baselines: MemoryLLM-7B and Llama-3.1-8B with 16K/128K fixed contexts; primary datasets: LongBook-QA (351 book-question pairs averaging 192K tokens) and authors' LongBook Event QA.,https://arxiv.org/abs/2502.00592,deepened
MAGMA,"Multi-graph memory for long-horizon reasoning across semantic/temporal/causal/entity graphs; policy-guided traversal; ACL 2026. Headline: 0.700 overall on LoCoMo, vs. Full-Context 0.481, A-MEM 0.580, MemoryOS 0.553, Nemori 0.590 (18.6%-45.5% relative gains); baselines: A-MEM, Nemori, MemoryOS, Full-Context; primary datasets: LoCoMo (~9K-token convs) and LongMemEval (100K+ token, 1,986 samples across 5 query categories).",https://arxiv.org/abs/2601.03236,deepened
MATTER,"Memory-augmented retriever-reader producing generated text from compact memory. Headline: 56.0 EM on TriviaQA fine-tuned with 100x throughput vs. FiD; baselines: FiD (65 EM, 2.2 q/s) and EMAT (44.4 EM, 190 q/s); primary datasets: TriviaQA, Natural Questions, WebQuestions.",https://arxiv.org/abs/2406.04670,deepened
Mem-α,"RL framework for agents with core/episodic/semantic memory; trained to decide what to store/structure/update. Headline: 0.642 average on validation, vs. RAG-Top2 0.567 and Long-Context 0.588; generalizes from 30K training to 400K+ tokens (13x training length); baselines: RAG-Top2, Long-Context, MemAgent, MEM1; primary dataset: MemoryAgentBench (Accurate Retrieval, Test-Time Learning, Long-Range Understanding across 9 datasets).",https://arxiv.org/abs/2509.25911,deepened
MEM1,"RL framework for constant memory across long multi-turn interactions via shared internal state. Headline: MEM1-7B improves performance 3.5x and reduces memory usage 3.7x vs. Qwen2.5-14B-Instruct on 16-objective multi-hop QA; baselines: Qwen2.5-14B-Instruct, Search-R1, DeepResearcher, Agent-R, AgentLM; primary datasets: multi-objective QA (HotpotQA + NQ composition), WebShop, Wikipedia RAG, Online Web-QA.",https://arxiv.org/abs/2506.15841,deepened
MemAgent,"Agent workflow processing long documents in segments with overwrite-based memory; extends DAPO for multi-conversation training. Headline: 8K-trained model extrapolates to 3.5M-token QA with <5% loss; 95%+ on 512K RULER; baselines: Qwen2.5-Instruct (incl. 1M variant), DeepSeek-R1-Distill-Qwen, QwenLong-L1-32B; primary datasets: RULER (HotpotQA QA at 7K-3.5M tokens), needle-in-a-haystack, variable tracking, frequent-words extraction.",https://arxiv.org/abs/2507.02259,deepened
MemBART,Stateful memory-augmented BART for efficient dialogue modeling; separate memory module alongside pre-trained transformer for state/context exchange. Headline: superior efficiency and performance vs. pre-trained Transformer baselines (no specific headline metric in abstract); baseline: vanilla BART and pre-trained Transformer baselines; primary datasets: 3 dialogue datasets and 2 language-modeling datasets.,https://arxiv.org/abs/2209.07634,deepened
Memento,"Memory-based online RL via M-MDP with episodic memory and case-selection policy; no LLM fine-tuning. Headline: 87.88% Pass@3 on GAIA validation, 79.40% on test; +4.7-9.6 absolute pp on OOD tasks; baselines: SOTA training-based methods, CoT+RAG (37.7% F1 on DeepResearcher), DeepResearcher (51.8% avg F1); primary datasets: GAIA val/test, DeepResearcher (7 QA datasets), SimpleQA (4,330 q), HLE (2,500 q).",https://arxiv.org/abs/2508.16153,deepened
MemEvolve,"Meta-evolution of agent memory architecture itself, not just experiential knowledge; EvolveLab self-evolving memory codebase with encode/store/retrieve/manage modules. Headline: SmolAgent and Flash-Searcher gains up to 17.06%; baselines: SmolAgent and Flash-Searcher frameworks; primary datasets: 4 challenging agentic benchmarks.",https://arxiv.org/abs/2512.18746,deepened
Memformer,External dynamic memory transformer for sequence modeling; memory replay back-propagation (MRBP) for long-range BPTT. Headline: 8.1x less memory and 3.2x faster inference vs. standard Transformers with comparable performance; baseline: standard Transformers; primary dataset: not specified in abstract (long-sequence language modeling).,https://arxiv.org/abs/2010.06891,deepened
Memformers (gradient memory),"Memory-augmented transformers can implement linear first-order optimization (gradient descent, conjugate gradient, momentum); MoE adapts learned methods to OOD scenarios. Headline: competitive with classical CGD/Nesterov AGM/momentum on synthetic linear regression (no specific headline metric); baselines: Conjugate Gradient Descent, Nesterov Accelerated Gradient, Momentum Gradient Descent; primary dataset: synthetic random linear regression (d=5, n=20, Gaussian inputs).",https://arxiv.org/abs/2410.07263,deepened
MemGen,Generative latent memory framework for self-evolving agents with Memory Trigger and Memory Weaver; spontaneously develops planning/procedural/working memory faculties. Headline: surpasses ExpeL and AWM by up to 38.22%; baselines: ExpeL and AWM; primary dataset: 8 benchmarks.,https://arxiv.org/abs/2509.24704,deepened
MemGuide,"Intent-driven memory selection: intent-aligned retrieval + missing-slot guided filtering with LLaMA-8B re-ranker. Headline: 88%->99% task success and -2.84 turns dialogue length; baselines: Full-context prompting (LLaMA3-8B, Qwen2.5-7B, Mistral-7B, GPT-4o-mini), BERT-DST, LDST, AutoTOD, ChatCite; primary dataset: MS-TOD (132 personas, 956 task goals, 2,861 dialogues across 16 domains).",https://arxiv.org/abs/2505.20231,deepened
