section,subgroup,tier,row_name,unresearched_columns
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,LM2,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,SoftCoT,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,H2O,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Memformer,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MemBART,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,AiT (Associative Transformer),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memformers (gradient memory),tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,WorkMATe,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t4,FOREVER,tax-governance|claims|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t4,SERS,tax-governance|claims|mindshare
Retrieval-as-memory hybrids,,row-t4,PathRAG,tax-persistence|tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,HyDE,tax-persistence|tax-governance|claims
Dedicated memory layers,,row-t2,Backboard,tax-update|tax-governance
Dedicated memory layers,,row-t2,OpenMemory,claims|mindshare
Dedicated memory layers,,row-t2,MemMachine,claims|mindshare
Dedicated memory layers,,row-t2,O-Mem,claims|mindshare
Enterprise-search adjacencies,,row-t1,Clarivate,claims|mindshare
Knowledge-graph platforms,,row-t1,TopQuadrant (TopBraid EDG),claims|mindshare
Knowledge-graph platforms,,row-t1,Ontotext GraphDB / Graphwise,claims|mindshare
Knowledge-graph platforms,,row-t1,PoolParty (now Graphwise),claims|mindshare
Knowledge-graph platforms,,row-t1,Palantir Ontology,claims|mindshare
Knowledge-graph platforms,,row-t1,Diffbot,claims|mindshare
"Memory governance, privacy & safety",,row-t1,Lakera Guard / Lakera Red,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t2,Microsoft Agent Governance Toolkit,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Enkrypt AI,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Acuvity (now Proofpoint),tax-storage|tax-unit
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,Knowledge Graph Tuning,claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,Memoro,claims|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,ReadAgent,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,GAM (General Agentic Memory),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,MemInsight,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,MemR³,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,MIA — Memory Intelligence Agent,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,SAGE,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Buffer of Thoughts,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,JARVIS-1,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,ExpeL,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,CREATOR,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Reflexion,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,MoT (Memory-of-Thought),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,RMM (Reflective Memory Management),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,MPO,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,MemoBrain,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Recurrent Memory Transformer (RMT),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ARMT (Associative RMT),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,Infini-attention,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t3,Transformer-XL,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,TransformerFAM,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Working memory & context management,row-t4,ATLAS,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MemLoRA,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memory Decoder,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MLP Memory,tax-governance|claims
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Memorizing Transformers,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,EMAT,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,MATTER,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,MemReasoner,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,CDMem,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Transformer²,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,NAMMs,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Memory Layers at Scale,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t3,Differentiable Search Index (DSI),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,I-JEPA,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA 2,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,Dreamer 4,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,R2I,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,Genie,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,V-JEPA (original),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,DIAMOND,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t4,PWM (Policy Learning with Large World Models),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t3,RIKEN Tensor Decomposition Incremental Learning,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Continual learning & catastrophic forgetting,row-t3,EWC (Elastic Weight Consolidation),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,Neural Episodic Control,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,EMU (Efficient Episodic Memory Utilization),tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Memory-augmented reinforcement learning,row-t3,HAMI,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,LLM-ACTR / Cognitive LLMs,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,Human-Like Remembering and Forgetting,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,SYNAPSE,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,HeLa-Mem,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,AriGraph,tax-governance|mindshare
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t3,Dual-Process Agent (DPA),tax-governance|mindshare
Research / specialised systems,,row-t3,A-MEM,tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,RAPTOR,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LazyGraphRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HippoRAG / HippoRAG2,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LightRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Adaptive-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,RouteRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,GraphRAFT,tax-governance|claims
Retrieval-as-memory hybrids,,row-t4,Beyond RAG for Agent Memory,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Generative Semantic Workspace (GSW),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,TC-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,KAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Speculative RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,CRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Self-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,FLARE,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,ITER-RETGEN,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,StructRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HiRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,LongRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Multi-Head RAG (MHRAG),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,BGE-M3,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,ChunkRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,AutoRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,WeKnow-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,REALM,tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,Atlas,tax-governance|mindshare
Theoretical / informal — ideas without a paper,,row-t5,LLM as OS Kernel,tax-update|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,LLM OS Specs,tax-update|tax-governance
Vector-database infrastructure,,row-t1,Elasticsearch / OpenSearch,claims|mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t1,LabGenius,tax-storage|mindshare
Vertical / domain-specific AI memory,— Education AI memory,row-t1,MagicSchool,tax-storage|tax-unit
Claude Code memory mechanisms,,row-t1,Claude Code auto-memory,claims
Claude Code memory mechanisms,,row-t2,Superpowers episodic-memory plugin,claims
Claude Code memory mechanisms,,row-t2,mcp-memory (Puliczek),mindshare
Claude Code memory mechanisms,,row-t1,Official MCP Memory server,claims
Dedicated memory layers,,row-t2,Memori,claims
Dedicated memory layers,,row-t2,Memary,claims
Dedicated memory layers,,row-t2,Anda Hippocampus,claims
Dedicated memory layers,,row-t2,M3-Agent (ByteDance),mindshare
Enterprise-search adjacencies,,row-t1,Glean,claims
Enterprise-search adjacencies,,row-t1,SearchUnify,claims
File-backed / editor paradigms,,row-t1,CLAUDE.md,claims
File-backed / editor paradigms,,row-t1,Cursor Rules,claims
File-backed / editor paradigms,,row-t1,Windsurf Rules & Memories,claims
Framework-embedded memory,,row-t2,LangMem (LangChain),claims
Framework-embedded memory,,row-t2,CrewAI Memory,claims
Framework-embedded memory,,row-t2,LlamaIndex Memory,claims
Framework-embedded memory,,row-t2,AutoGen Memory,claims
Framework-embedded memory,,row-t2,Semantic Kernel Memory,claims
Framework-embedded memory,,row-t2,Pydantic-AI + Hindsight,claims
Framework-embedded memory,,row-t2,LangGraph Persistence,claims
Framework-embedded memory,,row-t2,smolagents Memory,claims
Framework-embedded memory,,row-t2,Agno (Phidata) Memory,claims
Framework-embedded memory,,row-t2,Strands Agents Memory (AWS),claims
Framework-embedded memory,,row-t2,OpenAI Agents SDK Memory,claims
Framework-embedded memory,,row-t2,Google ADK Memory,claims
Framework-embedded memory,,row-t3,Haystack Memory (deepset),mindshare
Knowledge-graph platforms,,row-t1,Stardog,claims
Knowledge-graph platforms,,row-t1,Neo4j,claims
Knowledge-graph platforms,,row-t1,TigerGraph,claims
Knowledge-graph platforms,,row-t1,AllegroGraph (Franz),claims
Personal AI / PKM / lifelogging memory,,row-t1,Notion AI,claims
Personal AI / PKM / lifelogging memory,,row-t2,Obsidian Smart Connections,claims
Personal AI / PKM / lifelogging memory,,row-t2,Tana,claims
Personal AI / PKM / lifelogging memory,,row-t2,Logseq,claims
Personal AI / PKM / lifelogging memory,,row-t2,Heyday,claims
Personal AI / PKM / lifelogging memory,,row-t2,Mem.ai,claims
Personal AI / PKM / lifelogging memory,,row-t2,Reflect,claims
Personal AI / PKM / lifelogging memory,,row-t1,Microsoft Recall,claims
Personal AI / PKM / lifelogging memory,,row-t2,Personal.ai,claims
Platform-provider memory,,row-t1,Anthropic Claude Memory,claims
Platform-provider memory,,row-t1,OpenAI ChatGPT Memory,claims
Platform-provider memory,,row-t1,Google Gemini Memory,claims
Platform-provider memory,,row-t1,Microsoft Copilot Memory,claims
Platform-provider memory,,row-t1,LinkedIn Cognitive Memory Agent,claims
Platform-provider memory,,row-t2,Vertex AI Memory Bank,claims
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t2,MetaGPT,claims
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t3,Generative Agents,tax-governance
"Recent method papers — theorized, no distinct product",— Factual & long-term memory (token-level),row-t4,TierMem,mindshare
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t4,MemMachine (paper),tax-governance
"Recent method papers — theorized, no distinct product",— Experiential & procedural memory (agent learning from experience),row-t3,Toolformer,tax-governance
"Recent method papers — theorized, no distinct product",— Parametric & latent memory (memory in weights / KV / hidden states),row-t4,Larimar,tax-governance
"Recent method papers — theorized, no distinct product",— World-model & imagination memory,row-t3,DreamerV3,tax-governance
"Recent method papers — theorized, no distinct product",— Cognitive-architecture-inspired memory,row-t4,NL2GenSym,mindshare
Research / specialised systems,,row-t3,MemOS (MemTensor),tax-governance
Research / specialised systems,,row-t3,BAI-LAB MemoryOS,tax-governance
Research / specialised systems,,row-t4,Titans (Google),tax-governance
Research / specialised systems,,row-t3,MemoRAG,tax-governance
Research / specialised systems,,row-t3,EVOLVE-MEM,tax-governance
Research / specialised systems,,row-t4,EverMemOS,tax-governance
Research / specialised systems,,row-t4,TiMem,tax-governance
Research / specialised systems,,row-t4,LiCoMemory,tax-governance
Retrieval-as-memory hybrids,,row-t3,RAFT,tax-governance
Retrieval-as-memory hybrids,,row-t3,CAG (Cache-Augmented Generation),tax-governance
Retrieval-as-memory hybrids,,row-t3,RETRO,tax-governance
Theoretical / informal — ideas without a paper,,row-t5,RL-Based Continual Learning as Memory,tax-governance
Vector-database infrastructure,,row-t1,Pinecone,claims
Vector-database infrastructure,,row-t1,Weaviate,claims
Vector-database infrastructure,,row-t1,Qdrant,claims
Vector-database infrastructure,,row-t1,Chroma,claims
Vector-database infrastructure,,row-t1,Milvus,claims
Vector-database infrastructure,,row-t1,LanceDB,claims
Vector-database infrastructure,,row-t1,Turbopuffer,claims
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t1,FutureHouse,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t1,Causaly,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t1,BenevolentAI,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t2,Elicit,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t2,Scite.ai,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t2,Iris.ai,mindshare
Vertical / domain-specific AI memory,— Scientific / research AI memory,row-t2,ResearchRabbit,mindshare
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t3,NVIDIA Isaac GR00T N1.7,tax-governance
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t3,NVIDIA ReMEmbR,tax-governance
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t3,MemoryVLA,tax-governance
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t3,SG-Nav,tax-governance
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t4,Meta-Memory,tax-governance
Vertical / domain-specific AI memory,— Robotics / autonomous-driving / embodied memory,row-t3,GWM (Gaussian World Models),tax-governance
