pair,record_a,record_b,cell,value_a,value_b,action,reason
Aider,aider--aider-chat,aider-harness--aider-chat,funding,no public funding,OSS — no commercial entity,recommend-sync,Recommend: sync aider--aider-chat.funding ← aider-harness--aider-chat (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Aider,aider--aider-chat,aider-harness--aider-chat,customers,"1-10 ppl No named enterprise customers, OSS CLI tool",OSS — broad community adoption; indie devs over-indexed,recommend-sync,Recommend: sync aider--aider-chat.customers ← aider-harness--aider-chat (real-data) — longer (55 vs 52). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Aider,aider--aider-chat,aider-harness--aider-chat,hq,US,US (independent; Paul Gauthier),recommend-sync,Recommend: sync aider--aider-chat.hq ← aider-harness--aider-chat (real-data) — longer (31 vs 2). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Aider,aider--aider-chat,aider-harness--aider-chat,founders,Paul Gauthier (solo founder; ex-founding CTO Inktomi 1996-2000; ex-Google),Paul Gauthier (ex-MIT; ex-Inktomi),recommend-sync,Recommend: sync aider-harness--aider-chat.founders ← aider--aider-chat (real-data) — longer (74 vs 34). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Aider,aider--aider-chat,aider-harness--aider-chat,latest-release,v0.86.0 2025-08-09,aider 0.x rolling (2025-2026),recommend-sync,Recommend: sync aider--aider-chat.latest-release ← aider-harness--aider-chat (real-data) — longer (29 vs 18). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,url,https://cline.bot/,https://cline.bot,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
Cline,cline-framework--cline-bot,cline-harness--cline-bot,funding,Cline (formerly Claude Dev) raised $32M Series A 2025-04 (Pace Capital + 776 led); $32M valuation per reports.,Cline Inc. — Series A reported (2025; HQ undisclosed),recommend-sync,Recommend: sync cline-harness--cline-bot.funding ← cline-framework--cline-bot (real-data) — longer (110 vs 53). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,customers,searched not found,OSS — broad community; commercial Cline Pro launched 2025,recommend-sync,Recommend: sync cline-framework--cline-bot.customers ← cline-harness--cline-bot (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,hq,searched not found,US,recommend-sync,Recommend: sync cline-framework--cline-bot.hq ← cline-harness--cline-bot (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,founders,Saoud Rizwan (CEO); founded 2024; VS Code coding-agent extension.,Saoud Rizwan (creator),recommend-sync,Recommend: sync cline-harness--cline-bot.founders ← cline-framework--cline-bot (real-data) — longer (65 vs 22). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,created,2024,2024-07,recommend-sync,Recommend: sync cline-framework--cline-bot.created ← cline-harness--cline-bot (real-data) — more specific date 2024-07. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Cline,cline-framework--cline-bot,cline-harness--cline-bot,latest-release,searched not found,Cline 3.x (2025-2026 rolling),recommend-sync,Recommend: sync cline-framework--cline-bot.latest-release ← cline-harness--cline-bot (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,url,https://continue.dev/,https://continue.dev,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,funding,"$3M seed 2023 (Heavybit, Y Combinator W23); developer coding-agent OSS.","$7.5M Seed · 2024-03 (Heavybit, Y Combinator W23)",recommend-sync,Recommend: sync continue-dev-harness--continue-dev.funding ← continue-dev-framework--continue-dev (real-data) — longer (71 vs 49). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,customers,searched not found,OSS — broad community; enterprise customers undisclosed,recommend-sync,Recommend: sync continue-dev-framework--continue-dev.customers ← continue-dev-harness--continue-dev (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,hq,searched not found,US (San Francisco),recommend-sync,Recommend: sync continue-dev-framework--continue-dev.hq ← continue-dev-harness--continue-dev (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,founders,"Ty Dunn (CEO), Nate Sesti; founded 2023 (YC W23).","Nate Sesti, Ty Dunn (YC W23)",recommend-sync,Recommend: sync continue-dev-harness--continue-dev.founders ← continue-dev-framework--continue-dev (real-data) — longer (49 vs 28). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,created,2023,2023-07,recommend-sync,Recommend: sync continue-dev-framework--continue-dev.created ← continue-dev-harness--continue-dev (real-data) — more specific date 2023-07. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Continue.dev,continue-dev-framework--continue-dev,continue-dev-harness--continue-dev,latest-release,searched not found,Continue 1.x rolling,recommend-sync,Recommend: sync continue-dev-framework--continue-dev.latest-release ← continue-dev-harness--continue-dev (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Devin,devin-cognition--devin-ai,cognition-devin-v2-spec-mode--cognition-ai,url,https://devin.ai,https://cognition.ai,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
Devin,devin-cognition--devin-ai,cognition-devin-v2-spec-mode--cognition-ai,funding,$1.1B total $10.2B val Series E · 2025-09,$1.1B total $10.2B val Series E 2025-09,recommend-sync,Recommend: sync cognition-devin-v2-spec-mode--cognition-ai.funding ← devin-cognition--devin-ai (real-data) — longer (41 vs 39). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Devin,devin-cognition--devin-ai,cognition-devin-v2-spec-mode--cognition-ai,customers,"$150M ARR 51-200 ppl Goldman Sachs, Citi, Dell, Cisco, Ramp…","$150M+ ARR (reported); Goldman Sachs, Citi, Dell, Cisco, Ramp, MongoDB",recommend-sync,Recommend: sync devin-cognition--devin-ai.customers ← cognition-devin-v2-spec-mode--cognition-ai (real-data) — longer (70 vs 60). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Devin,devin-cognition--devin-ai,cognition-devin-v2-spec-mode--cognition-ai,hq,US,US (San Francisco; Cognition),recommend-sync,Recommend: sync devin-cognition--devin-ai.hq ← cognition-devin-v2-spec-mode--cognition-ai (real-data) — longer (29 vs 2). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Devin,devin-cognition--devin-ai,cognition-devin-v2-spec-mode--cognition-ai,founders,Founders Fund-backed; co-founders Scott Wu (Harvard CS; 3× IOI gold medalist) Steven Hao and Wa…,"Scott Wu, Steven Hao, Walden Yan — Cognition founders",recommend-sync,Recommend: sync cognition-devin-v2-spec-mode--cognition-ai.founders ← devin-cognition--devin-ai (real-data) — longer (96 vs 53). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,url,https://replit.com/products/agent,https://replit.com/ai,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,funding,$852M total $9.0B val Series D · 2026-03,Replit — $97M Series B 2023 + later rounds (~$1.16B val),recommend-sync,Recommend: sync replit-agent--replit-com.funding ← replit-agent-v3--replit-com (real-data) — longer (56 vs 40). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,customers,"$253M ARR 201-500 ppl Coinbase, Zillow, Mercedes-Benz, 85% Fortune 500 use Replit platform",30M+ users (Replit-claimed); broad indie + edu base,recommend-sync,Recommend: sync replit-agent-v3--replit-com.customers ← replit-agent--replit-com (real-data) — longer (90 vs 51). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,hq,US,US (San Francisco),recommend-sync,Recommend: sync replit-agent--replit-com.hq ← replit-agent-v3--replit-com (real-data) — longer (18 vs 2). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,founders,a16z / Coatue-backed; founders Amjad Masad (ex-Facebook) and Haya Odeh; $400M raised at $9B val…,"Amjad Masad (CEO), Faris Masad, Haya Odeh",recommend-sync,Recommend: sync replit-agent-v3--replit-com.founders ← replit-agent--replit-com (real-data) — longer (96 vs 41). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Replit,replit-agent--replit-com,replit-agent-v3--replit-com,created,2018-01,2024-09,flagged-difference,Genuinely-different release/product timeline — Replit Agent vs Agent v3 / Devin product vs Cognition v2 release; left as-is
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,license,MIT,not applicable — not OSS,recommend-sync,Recommend: sync bolt-new-stackblitz-harness--bolt-new.license ← bolt-new-stackblitz--bolt-new (real-data) — higher-status real-data > not-applicable. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,funding,$135M total raised: $7.9M seed (Apr 2022); $22M Series A (Nov 2024); $105.5M Series B (Jan 2025) at ~$700M valuation,$105M Series B 2025 (Insight Partners et al.),recommend-sync,Recommend: sync bolt-new-stackblitz-harness--bolt-new.funding ← bolt-new-stackblitz--bolt-new (real-data) — longer (116 vs 45). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,customers,searched not found,broad indie + design-engineer base; $40M+ ARR Q1 2025 (reported),recommend-sync,Recommend: sync bolt-new-stackblitz--bolt-new.customers ← bolt-new-stackblitz-harness--bolt-new (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,hq,US,US (San Francisco),recommend-sync,Recommend: sync bolt-new-stackblitz--bolt-new.hq ← bolt-new-stackblitz-harness--bolt-new (real-data) — longer (18 vs 2). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,founders,Eric Simons (CEO) and Albert Pai (CTO); both Chicago natives who met as teenagers; founded StackBlitz 2017,"Eric Simons (CEO StackBlitz), Albert Pai",recommend-sync,Recommend: sync bolt-new-stackblitz-harness--bolt-new.founders ← bolt-new-stackblitz--bolt-new (real-data) — longer (106 vs 40). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,created,2024-09,2024-10,recommend-sync,Recommend: sync bolt-new-stackblitz-harness--bolt-new.created ← bolt-new-stackblitz--bolt-new (real-data) — longer (7 vs 7). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Bolt.new,bolt-new-stackblitz--bolt-new,bolt-new-stackblitz-harness--bolt-new,latest-release,no releases,not applicable — not OSS,recommend-sync,Recommend: sync bolt-new-stackblitz-harness--bolt-new.latest-release ← bolt-new-stackblitz--bolt-new (depth-floor-reached) — higher-status depth-floor-reached > not-applicable. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Lovable,lovable--lovable-dev,lovable-dev-harness--lovable-dev,funding,$537M total $6.6B val Series B · 2025-12,"$200M Series A at $1.8B val · 2025-mid (Accel, Creandum)",recommend-sync,Recommend: sync lovable--lovable-dev.funding ← lovable-dev-harness--lovable-dev (real-data) — longer (56 vs 40). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Lovable,lovable--lovable-dev,lovable-dev-harness--lovable-dev,customers,"$400M ARR 51-200 ppl No named enterprise customers, 8M users, consumer-tilted",$200M ARR (founder claim Q3 2025); millions of users,recommend-sync,Recommend: sync lovable-dev-harness--lovable-dev.customers ← lovable--lovable-dev (real-data) — longer (77 vs 52). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Lovable,lovable--lovable-dev,lovable-dev-harness--lovable-dev,hq,SE,Sweden (Stockholm),recommend-sync,Recommend: sync lovable--lovable-dev.hq ← lovable-dev-harness--lovable-dev (real-data) — longer (18 vs 2). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Lovable,lovable--lovable-dev,lovable-dev-harness--lovable-dev,founders,Accel / CapitalG; Swedish AI coding startup; founder Anton Osika (Swedish engineer); $330M rais…,"Anton Osika (CEO; ex-GPT Engineer), Fabian Hedin",recommend-sync,Recommend: sync lovable-dev-harness--lovable-dev.founders ← lovable--lovable-dev (real-data) — longer (96 vs 48). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
Lovable,lovable--lovable-dev,lovable-dev-harness--lovable-dev,created,2024-10,2024-09,recommend-sync,Recommend: sync lovable-dev-harness--lovable-dev.created ← lovable--lovable-dev (real-data) — longer (7 vs 7). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,url,https://github.com/geekan/MetaGPT,https://github.com/FoundationAgents/MetaGPT,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,funding,searched not found,not applicable — OSS / no commercial entity,recommend-sync,Recommend: sync metagpt-harness--gh-foundationagents-metagpt.funding ← metagpt--gh-geekan-metagpt (depth-floor-reached) — higher-status depth-floor-reached > not-applicable. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,customers,searched not found,OSS — broad community + research labs,recommend-sync,Recommend: sync metagpt--gh-geekan-metagpt.customers ← metagpt-harness--gh-foundationagents-metagpt (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,hq,searched not found,China (DeepWisdom team),recommend-sync,Recommend: sync metagpt--gh-geekan-metagpt.hq ← metagpt-harness--gh-foundationagents-metagpt (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,founders,Sirui Hong (DeepWisdom CEO); founded 2023.,"Chenglin Wu (Alexander Wu), Sirui Hong et al. — DeepWisdom",recommend-sync,Recommend: sync metagpt--gh-geekan-metagpt.founders ← metagpt-harness--gh-foundationagents-metagpt (real-data) — longer (58 vs 42). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
MetaGPT,metagpt--gh-geekan-metagpt,metagpt-harness--gh-foundationagents-metagpt,latest-release,searched not found,MetaGPT 0.x rolling,recommend-sync,Recommend: sync metagpt--gh-geekan-metagpt.latest-release ← metagpt-harness--gh-foundationagents-metagpt (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,url,https://developers.openai.com/codex/memories,https://chatgpt.com/codex,flagged-difference,"URLs differ — framings reference different product/feature pages; left as-is per Round-7 ""two distinct framings"" convention"
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,funding,OpenAI $57B+ raised; $300B+ valuation,OpenAI (parent),recommend-sync,Recommend: sync chatgpt-codex-cloud-agent--chatgpt-com.funding ← openai-codex-cloud-agent--developers-openai-com (real-data) — longer (37 vs 15). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,customers,1000+ ppl No named enterprise customers on memory feature,ChatGPT Plus/Pro subscribers,recommend-sync,Recommend: sync chatgpt-codex-cloud-agent--chatgpt-com.customers ← openai-codex-cloud-agent--developers-openai-com (real-data) — longer (57 vs 28). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,hq,US (San Francisco),US (San Francisco; OpenAI),recommend-sync,Recommend: sync openai-codex-cloud-agent--developers-openai-com.hq ← chatgpt-codex-cloud-agent--chatgpt-com (real-data) — longer (26 vs 18). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,founders,"OpenAI; Sam Altman (CEO), Greg Brockman, Ilya Sutskever, Wojciech Zaremba, John Schulman",OpenAI internal team,recommend-sync,Recommend: sync chatgpt-codex-cloud-agent--chatgpt-com.founders ← openai-codex-cloud-agent--developers-openai-com (real-data) — longer (88 vs 20). Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
ChatGPT Codex,openai-codex-cloud-agent--developers-openai-com,chatgpt-codex-cloud-agent--chatgpt-com,created,searched not found,2025-05,recommend-sync,Recommend: sync openai-codex-cloud-agent--developers-openai-com.created ← chatgpt-codex-cloud-agent--chatgpt-com (real-data) — higher-status real-data > depth-floor-reached. Deferred to landscape.html edit pass (Path B canonical-source convention; web/landscape.json edits are reverted by reconcile.py).
